Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
AVIA 62 (Section 04),50833,In Person,Instrument Pilot Ground,,3.0,LEC,MW,12:00PM-01:15PM,Wendy Mora,IS133,08/21/23-12/06/23,3,,2023,Fall
AVIA 63 (Section 01),41161,Hybrid,Instrument Rating Part 141 Flight,,2.0,SUP,TBA,TBA,Wendy Mora,,08/21/23-12/06/23,9,,2023,Fall
AVIA 68 (Section 01),42402,In Person,Avionics and Airborne Communication,,3.0,LEC,W,04:00PM-05:45PM,Daniel Neal,RHV135,08/21/23-12/06/23,7,,2023,Fall
AVIA 68 (Section 11),42403,In Person,Avionics and Airborne Communication,,3.0,LAB,W,06:00PM-08:45PM,Daniel Neal,RHV120,08/21/23-12/06/23,1,,2023,Fall
AVIA 68 (Section 12),47288,In Person,Avionics and Airborne Communication,,3.0,LAB,R,06:00PM-08:45PM,Daniel Neal,RHV120,08/21/23-12/06/23,6,,2023,Fall
AVIA 73 (Section 80),46983,Fully Online,Air Traffic Control,,3.0,LEC,TR,06:00PM-07:15PM,Joanna Cruz-Acuna,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AVIA 78 (Section 01),43797,In Person,Introduction to Aviation Management,,3.0,LEC,TR,04:30PM-05:45PM,Staff,IS216,08/21/23-12/06/23,0,,2023,Fall
AVIA 91 (Section 01),41455,In Person,Aircraft Turbine Engines,,3.0,LEC,TR,09:00AM-10:15AM,Dennis Romano,RHV135,08/21/23-12/06/23,11,,2023,Fall
AVIA 91 (Section 02),50428,In Person,Aircraft Turbine Engines,,3.0,LEC,TR,10:30AM-11:45AM,Dennis Romano,RHV135,08/21/23-12/06/23,17,,2023,Fall
BIOL 10 (Section 01),40488,In Person,The Living World,GE: B2,3.0,LEC,TR,09:00AM-10:15AM,Jennifer Johnston,SCI164,08/21/23-12/06/23,7,,2023,Fall
BIOL 10 (Section 03),44733,In Person,The Living World,GE: B2,3.0,LEC,MW,10:30AM-11:45AM,Jennifer Johnston,SCI164,08/21/23-12/06/23,2,,2023,Fall
BIOL 10 (Section 04),50518,In Person,The Living World,GE: B2,3.0,LEC,MW,03:00PM-04:15PM,Jennifer Johnston,DH250,08/21/23-12/06/23,2,,2023,Fall
BIOL 10 (Section 80),41498,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Jennifer Johnston,ONLINE,08/21/23-12/06/23,3,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
BIOL 10 (Section 99),47433,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,08/21/23-12/06/23,0,,2023,Fall
BIOL 100W (Section 01),40747,In Person,Scientific Communication Workshop,GE: WID+R,3.0,SEM,M,06:00PM-08:45PM,Hamed Mouseghy,DH352,08/21/23-12/06/23,0,,2023,Fall
BIOL 100W (Section 02),41367,In Person,Scientific Communication Workshop,GE: WID+R,3.0,SEM,M,01:30PM-04:15PM,Leila Khatib,DH345,08/21/23-12/06/23,0,,2023,Fall
BIOL 100W (Section 03),40917,In Person,Scientific Communication Workshop,GE: WID+R,3.0,SEM,M,10:30AM-01:15PM,Fredrick Larabee,DH345,08/21/23-12/06/23,2,,2023,Fall
BIOL 100W (Section 06),50185,In Person,Scientific Communication Workshop,GE: WID+R,3.0,SEM,F,10:30AM-01:15PM,Sulekha Anand,DH443,08/21/23-12/06/23,7,,2023,Fall
