Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
LING 21 (Section 81),48055,Fully Online,Language and Thinking,GE: A3,3.0,SEM,TBA,TBA,Effie Chiu,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
LING 21 (Section 82),43847,Fully Online,Language and Thinking,GE: A3,3.0,SEM,TBA,TBA,Mahsa Modirzadeh,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
LING 213 (Section 01),43850,In Person,Linguistic Field Methods,,3.0,SEM,TR,04:30PM-05:45PM,Kevin Moore,CL242,08/21/23-12/06/23,8,,2023,Fall
LING 22 (Section 01),40601,In Person,Language across the Lifespan,GE: E,3.0,LEC,MW,12:00PM-01:15PM,Swathi Vanniarajan,CL205,08/21/23-12/06/23,0,,2023,Fall
LING 22 (Section 02),45113,In Person,Language across the Lifespan,GE: E,3.0,LEC,MW,09:00AM-10:15AM,Scott Phillabaum,CL308,08/21/23-12/06/23,0,,2023,Fall
LING 24 (Section 01),45114,In Person,"Language Variation in Space, Time, a Culture",GE: A3orD,3.0,LEC,MW,10:30AM-11:45AM,Swathi Vanniarajan,CL308,08/21/23-12/06/23,0,,2023,Fall
LING 24 (Section 80),48056,Fully Online,"Language Variation in Space, Time, a Culture",GE: A3orD,3.0,LEC,TBA,TBA,Debra Hunter,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
LING 25 (Section 01),45115,In Person,Languages of the World,GE: D,3.0,LEC,TR,10:30AM-11:45AM,Chris Donlay,CL308,08/21/23-12/06/23,0,,2023,Fall
LING 26 (Section 01),43304,In Person,Quantitative Reasoning in Linguistic Diversity,GE: B4,3.0,LEC,TR,12:00PM-01:15PM,Julia Swan,CL242,08/21/23-12/06/23,1,,2023,Fall
LING 26 (Section 02),48276,In Person,Quantitative Reasoning in Linguistic Diversity,GE: B4,3.0,LEC,TR,01:30PM-02:45PM,Julia Swan,CL242,08/21/23-12/06/23,1,,2023,Fall
LING 26W (Section 01),48295,In Person,Quantitative Reasoning Linguistic Diversity Workshop,,1.0,DIS,T,10:30AM-11:20AM,Julia Swan,CL242,08/21/23-12/06/23,6,,2023,Fall
LING 298 (Section 01),50377,In Person,Individual Study,,3.0,SUP,TBA,TBA,Yining Nie,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
LING 298 (Section 80),43308,Fully Online,Individual Study,,3.0,SUP,TBA,TBA,Julia Swan,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
LING 298 (Section 82),50472,Fully Online,Individual Study,,3.0,SUP,TBA,TBA,Yining Nie,ONLINE,08/21/23-12/06/23,3,,2023,Fall
LING 299 (Section 01),41405,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
LLD 100W (Section 01),41159,In Person,Writing Workshop,WID,3.0,SEM,MW,10:30AM-11:45AM,Stefan Frazier,SH240,08/21/23-12/06/23,9,,2023,Fall
LLD 100WB (Section 01),42107,In Person,Writing Workshop for Business Students,WID,3.0,SEM,MW,01:30PM-02:45PM,Kaye Sanders,CL205,08/21/23-12/06/23,0,,2023,Fall
LLD 100WB (Section 02),42806,In Person,Writing Workshop for Business Students,WID,3.0,SEM,TR,09:00AM-10:15AM,Kaye Sanders,SH414,08/21/23-12/06/23,0,,2023,Fall
LLD 100WB (Section 03),42807,In Person,Writing Workshop for Business Students,WID,3.0,SEM,TR,12:00PM-01:15PM,Kaye Sanders,CL205,08/21/23-12/06/23,0,,2023,Fall
LLD 100WB (Section 04),41552,In Person,Writing Workshop for Business Students,WID,3.0,SEM,TR,03:00PM-04:15PM,Scott Alkire,CL216,08/21/23-12/06/23,0,,2023,Fall
LLD 100WB (Section 05),47318,In Person,Writing Workshop for Business Students,WID,3.0,SEM,F,09:30AM-12:15PM,Mahsa Modirzadeh,CL216,08/21/23-12/06/23,0,,2023,Fall
