Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ENGL 1A (Section 47),42021,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Lee Patterson,BBC123,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 48),42206,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Chelsea Criez,BBC121,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 49),42207,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Rachel Turner,SH348,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 50),42027,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Joseph Navarro,BBC121,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 51),42028,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Ryan Smith,BBC124,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 52),46300,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Rachel Turner,BBC123,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 53),42029,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Amber Sylva,BBC122,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 54),42030,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Lilly Chen,SH315,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 55),42214,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Alex Davis,CL316,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 56),42031,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Raina Levesque,BBC128,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 57),42040,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Mark Dowdy,BBC221,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 58),42404,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Jillian Murphy,SH229,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 59),42406,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Rachel Turner,SH348,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 60),43159,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Alex Davis,CL316,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 61),44820,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Au-Co Tran,BBC122,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 62),44821,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Victoria Thorp,BBC221,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 63),43969,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Joseph Navarro,BBC121,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 64),44823,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Rachel Turner,BBC128,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 65),43970,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Allison Gregory,BBC123,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 66),43971,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Amber Sylva,BBC122,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 67),43972,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Leanne Lindelof,BBC221,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ENGL 1A (Section 68),43973,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Leanne Lindelof,CL205,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
