Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ME 168 (Section 01),48376,In Person,Microfluid Fabrication and Design,,1.0,LAB,R,01:30PM-04:15PM,John Lee,ENG115,08/21/23-12/06/23,10,,2023,Fall
ME 171 (Section 01),48022,In Person,Energy Management in Manufacturing,,3.0,LEC,TR,04:30PM-05:45PM,Farzan Kazemifar,ENG329,08/21/23-12/06/23,22,,2023,Fall
ME 180 (Section 82),40322,Fully Online,Individual Studies,,1.0,SUP,TBA,TBA,Vimal Viswanathan,ONLINE,08/21/23-12/06/23,9,,2023,Fall
ME 180 (Section 83),47216,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,Vimal Viswanathan,ONLINE,08/21/23-12/06/23,7,,2023,Fall
ME 182 (Section 01),41219,In Person,Thermal Systems Design,,3.0,SEM,TR,12:00PM-01:15PM,Ernest Thurlow,ENG401,08/21/23-12/06/23,0,,2023,Fall
ME 190 (Section 01),40265,In Person,Mechatronics System Design,,3.0,SEM,TR,01:30PM-02:20PM,Saeid Bashash,CL222,08/21/23-12/06/23,0,,2023,Fall
ME 190 (Section 02),40608,In Person,Mechatronics System Design,,0,LAB,R,10:30AM-01:15PM,Saeid Bashash,ENG135,08/21/23-12/06/23,0,,2023,Fall
ME 190 (Section 03),41497,In Person,Mechatronics System Design,,0,LAB,R,02:30PM-05:15PM,Beniam Ayele,ENG135,08/21/23-12/06/23,2,,2023,Fall
ME 190 (Section 04),48377,In Person,Mechatronics System Design,,0,LAB,T,02:30PM-05:15PM,Salman Saeed,ENG135,08/21/23-12/06/23,3,,2023,Fall
ME 192 (Section 01),44440,In Person,Robotics and Manufacturing Systems,,3.0,SEM,MW,08:00AM-08:50AM,Lin Jiang,ENG192,08/21/23-12/06/23,0,,2023,Fall
ME 192 (Section 02),44441,In Person,Robotics and Manufacturing Systems,,0,LAB,M,10:30AM-01:15PM,Lin Jiang,ENG192,08/21/23-12/06/23,0,,2023,Fall
ME 192 (Section 03),44780,In Person,Robotics and Manufacturing Systems,,0,LAB,W,10:30AM-01:15PM,Han Duong,ENG192,08/21/23-12/06/23,0,,2023,Fall
ME 195A (Section 01),49248,In Person,Senior Design Project I,GE: S,3.0,SEM,W,01:30PM-04:15PM,Raghu Agarwal,HGH223,08/21/23-12/06/23,1,,2023,Fall
ME 195A (Section 02),42073,Hybrid,Senior Design Project I,GE: S,3.0,SEM,W,01:30PM-04:15PM,Raymond Yee,,08/21/23-12/06/23,5,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.",2023,Fall
ME 195A (Section 03),49249,In Person,Senior Design Project I,GE: S,3.0,SEM,W,01:30PM-04:15PM,Burford Furman,OFFCAMPUS,08/21/23-12/06/23,6,,2023,Fall
ME 195A (Section 04),42075,In Person,Senior Design Project I,GE: S,3.0,SEM,W,06:00PM-08:45PM,Hussameddine Kabbani,ENG135,08/21/23-12/06/23,0,,2023,Fall
ME 195A (Section 05),42682,In Person,Senior Design Project I,GE: S,3.0,SEM,W,01:30PM-04:15PM,James Mokri,ENG141,08/21/23-12/06/23,2,,2023,Fall
ME 195A (Section 06),43098,In Person,Senior Design Project I,GE: S,3.0,SEM,W,01:30PM-04:15PM,Syed Zaidi,ENG135,08/21/23-12/06/23,9,,2023,Fall
ME 198 (Section 80),49650,Fully Online,Technology and Civilization,GE: V,3.0,LEC,MW,09:00AM-10:15AM,Nik Tehrani,ONLINE,08/21/23-12/06/23,32,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
ME 198 (Section 81),49651,Fully Online,Technology and Civilization,GE: V,3.0,LEC,TBA,TBA,Lin Zou,ONLINE,08/21/23-12/06/23,34,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
ME 20 (Section 01),41502,In Person,Design and Graphics,,2.0,SEM,M,10:30AM-11:20AM,Kourosh Youssefi,ENG189,08/21/23-12/06/23,0,,2023,Fall
ME 20 (Section 02),41504,In Person,Design and Graphics,,0,LAB,M,01:30PM-04:15PM,Aboubacar Traore,ENG213,08/21/23-12/06/23,1,,2023,Fall
ME 20 (Section 03),41505,In Person,Design and Graphics,,0,LAB,T,09:00AM-11:45AM,Venkat Prasanna Kumar,ENG213,08/21/23-12/06/23,1,,2023,Fall
ME 20 (Section 04),41519,In Person,Design and Graphics,,0,LAB,W,01:30PM-04:15PM,Sagar Sanjeev Patil,ENG213,08/21/23-12/06/23,0,,2023,Fall
ME 20 (Section 05),41506,In Person,Design and Graphics,,0,LAB,R,01:30PM-04:15PM,Venkat Prasanna Kumar,ENG213,08/21/23-12/06/23,0,,2023,Fall
ME 20 (Section 06),42101,In Person,Design and Graphics,,0,LAB,F,09:30AM-12:15PM,Sagar Sanjeev Patil,ENG213,08/21/23-12/06/23,0,,2023,Fall
ME 201 (Section 01),47005,Hybrid,Project Planning,GWAR,3.0,LEC,W,,,,,,,2023,Fall
TBA,W,,,,,,,,,,,,,2023,Fall
TBA,John Lee,ENG343,,,,,,,,,,,,2023,Fall
ME 221 (Section 01),48068,Hybrid,Viscous Flow Analysis and Computation,,3.0,SEM,R,,,,,,,2023,Fall
ME 230 (Section 84),40925,Hybrid,Advanced Mechanical Engineering Analysis,,3.0,SEM,MW,03:00PM-04:15PM,Ali Tohidi,,08/21/23-12/06/23,3,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.",2023,Fall
ME 231 (Section 01),48076,In Person,Machine Learning and Optimization in Mechanical Engineering,,3.0,SEM,MW,04:30PM-05:20PM,Feruza Amirkulova,ENG213,08/21/23-12/06/23,7,,2023,Fall
ME 231 (Section 02),48079,In Person,Machine Learning and Optimization in Mechanical Engineering,,0,LAB,F,04:00PM-06:45PM,Feruza Amirkulova,ENG213,08/21/23-12/06/23,7,,2023,Fall
ME 243 (Section 01),48836,In Person,Vibration of Mechanical Systems,,3.0,SEM,TR,04:30PM-05:45PM,Feruza Amirkulova,CL226,08/21/23-12/06/23,27,,2023,Fall
ME 268 (Section 87),50762,Hybrid,3D Printing and Additive Manufacturing,,3.0,LEC,MW,06:00PM-07:15PM,Bryan Asuncion,,08/21/23-12/06/23,1,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.",2023,Fall
ME 273 (Section 01),40984,Hybrid,Finite Element Methods in Engineering,,3.0,SEM,TR,,,,,,,2023,Fall
