Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
AFAM 190 (Section 01),51085,In Person,Internship in Community Development,,3.0,SUP,TBA,TBA,Travis Boyce,,08/21/23-12/06/23,4,RO - Not available to Open University students.,2023,Fall
AFAM 22 (Section 01),43950,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,MW,09:00AM-10:15AM,Carmen Saleh,CL224,08/21/23-12/06/23,1,,2023,Fall
AFAM 22 (Section 02),43951,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,MW,01:30PM-02:45PM,Carmen Saleh,DMH357,08/21/23-12/06/23,0,,2023,Fall
AFAM 22 (Section 03),46326,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,MW,03:00PM-04:15PM,Bobby Seals,DMH357,08/21/23-12/06/23,0,,2023,Fall
AFAM 22 (Section 04),43952,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,TR,01:30PM-02:45PM,Carmen Saleh,CL117,08/21/23-12/06/23,1,,2023,Fall
AFAM 22 (Section 05),44623,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,TR,03:00PM-04:15PM,Carmen Saleh,DMH358,08/21/23-12/06/23,3,,2023,Fall
AFAM 22 (Section 06),50577,In Person,The Humanities in African American Culture,GE: F,3.0,LEC,MW,12:00PM-01:15PM,Carmen Saleh,BBC022,08/21/23-12/06/23,1,,2023,Fall
AFAM 22 (Section 80),44644,Fully Online,The Humanities in African American Culture,GE: F,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 22 (Section 81),50633,Fully Online,The Humanities in African American Culture,GE: F,3.0,LEC,TBA,TBA,Leah Gaines,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 22 (Section 82),50634,Fully Online,The Humanities in African American Culture,GE: F,3.0,LEC,TBA,TBA,Leah Gaines,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 22 (Section 83),50635,Fully Online,The Humanities in African American Culture,GE: F,3.0,LEC,TBA,TBA,Leah Gaines,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 22 (Section 84),50636,Fully Online,The Humanities in African American Culture,GE: F,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 25 (Section 01),49357,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,09:00AM-10:15AM,Frank Ortega,DMH234,08/21/23-12/06/23,33,,2023,Fall
AFAM 25 (Section 03),49358,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,12:00PM-01:15PM,Jonathan Gomez,HGH225,08/21/23-12/06/23,35,,2023,Fall
AFAM 25 (Section 04),49359,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,TR,09:00AM-10:15AM,Felipe Ponce,DMH164,08/21/23-12/06/23,34,,2023,Fall
AFAM 25 (Section 05),50557,Hybrid,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Frank Ortega,CL310,,,,,,,,,,,,2023,Fall
AFAM 25 (Section 06),50558,Hybrid,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Frank Ortega,HGH225,,,,,,,,,,,,2023,Fall
AFAM 25 (Section 80),49360,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,01:30PM-02:45PM,Kim Miranda,ONLINE,08/21/23-12/06/23,36,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFAM 2A (Section 01),42942,Fully Online,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,08/21/23-12/06/23,1,,2023,Fall
AFAM 2A (Section 02),43026,Fully Online,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,08/21/23-12/06/23,0,,2023,Fall
AFAM 2A (Section 03),44511,Fully Online,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,08/21/23-12/06/23,0,,2023,Fall
AFAM 2A (Section 04),44239,Fully Online,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,08/21/23-12/06/23,1,,2023,Fall
AFAM 2A (Section 05),44241,Fully Online,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,08/21/23-12/06/23,2,,2023,Fall
AFAM 2A (Section 06),44561,In Person,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TR,12:00PM-01:15PM,Wendy Thompson,DMH357,08/21/23-12/06/23,0,,2023,Fall
AFAM 2A (Section 07),48440,In Person,African Americans and the Development of America's History and Government,GE: D,3.0,LEC,TR,01:30PM-02:45PM,Bobby Seals,DMH357,08/21/23-12/06/23,0,,2023,Fall
AFAM 2B (Section 80),42943,Fully Online,African Americans and the Development of America's History and Government,GE: D+US,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
AFRS 142 (Section 01),49596,In Person,African Politics,,4.0,LEC,MW,,,,,,,2023,Fall
TBA,MW,,,,,,,,,,,,,2023,Fall
TBA,Sabrina Pinnell,DMH160,,,,,,,,,,,,2023,Fall
AMS 10 (Section 01),47857,In Person,Stories that Make America,GE: C2+U1,3.0,LEC,TR,01:30PM-02:45PM,Michele Bertolone,CL204,08/21/23-12/06/23,0,,2023,Fall
AMS 10 (Section 02),47858,In Person,Stories that Make America,GE: C2+U1,3.0,LEC,MW,10:30AM-11:45AM,Judith Georges,ENG403,08/21/23-12/06/23,1,,2023,Fall
AMS 10 (Section 60),50528,In Person,Stories that Make America,GE: C2+U1,3.0,LEC,MW,12:00PM-01:15PM,Caitlin Jeffrey,SH315,08/21/23-12/06/23,2,,2023,Fall
