Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
JS 181 (Section 86),47617,Fully Online,Internship: Justice Studies,,3.0,SUP,TBA,TBA,Bryce Westlake,ONLINE,08/21/23-12/06/23,0,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 87),41948,Fully Online,Internship: Justice Studies,,3.0,SUP,TBA,TBA,Gabriela Gonzalez,ONLINE,08/21/23-12/06/23,0,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 88),41949,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 89),42041,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Shawna Bolton,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 90),42042,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Alessandro De Giorgi,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 91),42043,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Grace Howard,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 92),47612,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Sang Kil,ONLINE,08/21/23-12/06/23,5,,2023,Fall
JS 181 (Section 93),47614,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Jodie Warren,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 94),47616,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Bryce Westlake,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 95),47619,Fully Online,Internship: Justice Studies,,6.0,SUP,TBA,TBA,Gabriela Gonzalez,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 181 (Section 97),49328,Fully Online,Internship: Justice Studies,,3.0,SUP,TBA,TBA,Justin Strong,ONLINE,08/21/23-12/06/23,2,,2023,Fall
JS 184 (Section 80),46794,Fully Online,Directed Reading,,1.0,SUP,TBA,TBA,Claudio Vera Sanchez,ONLINE,08/21/23-12/06/23,10,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 184 (Section 81),46795,Fully Online,Directed Reading,,2.0,SUP,TBA,TBA,Claudio Vera Sanchez,ONLINE,08/21/23-12/06/23,10,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 184 (Section 82),46796,Fully Online,Directed Reading,,3.0,SUP,TBA,TBA,Claudio Vera Sanchez,ONLINE,08/21/23-12/06/23,10,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 189 (Section 01),43364,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,TR,12:00PM-01:15PM,Dina Kameda,SH414,08/21/23-12/06/23,1,RC - Requires department release of permission number.,2023,Fall
JS 189 (Section 03),43539,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,MW,10:30AM-11:45AM,Gabriela Gonzalez,HGH225,08/21/23-12/06/23,0,RC - Requires department release of permission number.,2023,Fall
JS 189 (Section 04),49262,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,TR,03:00PM-04:15PM,Edith Kinney,MH520,08/21/23-12/06/23,4,,2023,Fall
