Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ENED 184Y (Section 04),46896,In Person,Student Teaching II - Classroom Teaching,,4.0,SUP,TBA,TBA,Paula Bonander Oakes,,08/21/23-12/06/23,2,,2023,Fall
ENED 184Y (Section 05),50981,In Person,Student Teaching II - Classroom Teaching,,4.0,SUP,TBA,TBA,Ralph Mckay,,08/21/23-12/06/23,6,RO - Not available to Open University students.,2023,Fall
ENED 184Z (Section 01),40167,In Person,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Chelsea Criez,,08/21/23-12/06/23,0,,2023,Fall
ENED 184Z (Section 02),40928,In Person,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Louise Bernbaum,,08/21/23-12/06/23,3,,2023,Fall
ENED 184Z (Section 03),40929,In Person,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Genie Florczyk,,08/21/23-12/06/23,0,,2023,Fall
ENED 184Z (Section 04),46897,In Person,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Paula Bonander Oakes,,08/21/23-12/06/23,4,,2023,Fall
ENED 353 (Section 01),42675,Hybrid,Methods of Teaching English,,4.0,LEC,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Scott Jarvie,SH229,,,,,,,,,,,,2023,Fall
ENED 365 (Section 01),41705,In Person,Seminar in English Education,,2.0,SEM,R,04:30PM-07:15PM,Scott Jarvie,SH229,08/21/23-12/06/23,11,RC - Requires department release of permission number.,2023,Fall
ENGL 100A (Section 01),41548,In Person,Writing Competency Through Genres,,3.0,SEM,TR,10:30AM-11:45AM,Helen Meservey,BBC203,08/21/23-12/06/23,1,PV - Prerequisite courses required. See course description.,2023,Fall
ENGL 100A (Section 02),43177,In Person,Writing Competency Through Genres,,3.0,SEM,TR,01:30PM-02:45PM,Helen Meservey,BBC203,08/21/23-12/06/23,1,PV - Prerequisite courses required. See course description.,2023,Fall
ENGL 100W (Section 01),43215,Hybrid,Writing Workshop,WID,4.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Maite Urcaregui,SH411,,,,,,,,,,,,2023,Fall
ENGL 100W (Section 81),43216,Fully Online,Writing Workshop,WID,4.0,LEC,MW,,,,,,,2023,Fall
TBA,MW,,,,,,,,,,,,,2023,Fall
TBA,Kathleen Mcsharry,ONLINE,,,,,,,,,,,,2023,Fall
ENGL 100W (Section 82),43217,Fully Online,Writing Workshop,WID,4.0,LEC,MW,,,,,,,2023,Fall
TBA,MW,,,,,,,,,,,,,2023,Fall
TBA,Kathleen Mcsharry,ONLINE,,,,,,,,,,,,2023,Fall
ENGL 100WB (Section 01),43201,In Person,Written Communication: Business,WID,3.0,LEC,MW,12:00PM-01:15PM,Jennifer Bean,BBC128,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 02),43207,In Person,Written Communication: Business,WID,3.0,LEC,MW,10:30AM-11:45AM,Jennifer Bean,BBC128,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 03),43208,In Person,Written Communication: Business,WID,3.0,LEC,MW,04:30PM-05:45PM,Jennifer Bean,BBC128,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 04),43209,In Person,Written Communication: Business,WID,3.0,LEC,MW,03:00PM-04:15PM,Jennifer Bean,BBC128,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 05),43210,In Person,Written Communication: Business,WID,3.0,LEC,TR,10:30AM-11:45AM,Sian Sloan,BBC221,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 06),44928,In Person,Written Communication: Business,WID,3.0,LEC,TR,09:00AM-10:15AM,Sian Sloan,BBC221,08/21/23-12/06/23,1,,2023,Fall
ENGL 100WB (Section 07),43211,In Person,Written Communication: Business,WID,3.0,LEC,TR,01:30PM-02:45PM,Sian Sloan,SH414,08/21/23-12/06/23,0,,2023,Fall
ENGL 100WB (Section 80),43728,Fully Online,Written Communication: Business,WID,3.0,LEC,T,06:00PM-08:45PM,Kirsten Schwartz,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
