Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
RTVF 20 (Section 06),44152,In Person,Introduction to Audio for Film a Television,,3.0,ACT,R,11:00AM-12:45PM,Raha Shojaei,DBH202,08/21/23-12/06/23,2,RL - Open to non majors.,2023,Fall
RTVF 21 (Section 01),40602,Hybrid,KSJS On-Air Operations,,3.0,LEC,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Joseph Biagini / Joseph Biagini,HGH124,,,,,,,,,,,,2023,Fall
RTVF 21 (Section 02),40603,Hybrid,KSJS On-Air Operations,,3.0,ACT,TBA,TBA,Joseph Biagini,,08/21/23-12/06/23,12,HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
RTVF 30 (Section 01),42954,In Person,Introduction to Film a Television Production,,3.0,LEC,T,06:00PM-07:45PM,Juan Serna,HGH120,08/21/23-12/06/23,0,,2023,Fall
RTVF 30 (Section 02),42955,In Person,Introduction to Film a Television Production,,3.0,ACT,T,08:00PM-09:45PM,Juan Serna,HGH120,08/21/23-12/06/23,0,RL - Open to non majors.,2023,Fall
RTVF 30 (Section 03),42956,In Person,Introduction to Film a Television Production,,3.0,LEC,R,01:30PM-03:15PM,Christine Guzzetta,HGH124,08/21/23-12/06/23,4,,2023,Fall
RTVF 30 (Section 04),42957,In Person,Introduction to Film a Television Production,,3.0,ACT,R,03:30PM-05:15PM,Christine Guzzetta,HGH124,08/21/23-12/06/23,4,RL - Open to non majors.,2023,Fall
RTVF 30 (Section 05),42958,In Person,Introduction to Film a Television Production,,3.0,LEC,F,09:00AM-10:45AM,Christine Guzzetta,HGH124,08/21/23-12/06/23,7,,2023,Fall
RTVF 30 (Section 06),42959,In Person,Introduction to Film a Television Production,,3.0,ACT,F,11:00AM-12:45PM,Christine Guzzetta,HGH124,08/21/23-12/06/23,7,RL - Open to non majors.,2023,Fall
RTVF 31 (Section 80),44158,Fully Online,Film and Television Aesthetics,,3.0,LEC,TBA,TBA,Babak Sarrafan,ONLINE,08/21/23-12/06/23,0,,2023,Fall
RTVF 31 (Section 81),44159,Fully Online,Film and Television Aesthetics,,3.0,LEC,TBA,TBA,Babak Sarrafan,ONLINE,08/21/23-12/06/23,0,,2023,Fall
RTVF 80 (Section 80),44160,Fully Online,Introduction to Media,,3.0,LEC,TBA,TBA,Hojeong Lee,ONLINE,08/21/23-12/06/23,0,,2023,Fall
RTVF 80 (Section 81),47849,Fully Online,Introduction to Media,,3.0,LEC,TBA,TBA,Capri Burrows,ONLINE,08/21/23-12/06/23,0,,2023,Fall
RTVF 82 (Section 80),47851,Fully Online,Introduction to Film History,,3.0,LEC,TBA,TBA,Zaki Hasan,ONLINE,08/21/23-12/06/23,1,,2023,Fall
RTVF 82 (Section 81),47852,Fully Online,Introduction to Film History,,3.0,LEC,TBA,TBA,Scott Sublett,ONLINE,08/21/23-12/06/23,0,,2023,Fall
RUSS 1A (Section 01),45339,In Person,Elementary Russian I,GE: C2,4.0,SEM,MW,12:30PM-02:10PM,Larissa Chiriaeva,HB405,08/21/23-12/06/23,7,,2023,Fall
SCED 174 (Section 03),50929,In Person,Science Pedagogy for Learning Assistants,,3.0,LEC,R,04:30PM-06:00PM,Annie Chase,DH416,08/21/23-12/06/23,15,,2023,Fall
SCED 174 (Section 11),47657,Hybrid,Science Pedagogy for Learning Assistants,,0,CLN,TBA,TBA,Annie Chase,,08/21/23-12/06/23,23,,2023,Fall
