Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ENVS 181 (Section 03),41696,In Person,Environmental Resource Center,,3.0,SUP,MW,01:30PM-02:45PM,Amy Petersen,WSQ111,08/21/23-12/06/23,7,,2023,Fall
ENVS 185 (Section 01),47752,In Person,Environmental Impact Analysis,,4.0,LEC,W,03:00PM-05:45PM,Ada Marquez,DMH164,08/21/23-12/06/23,1,CA - Students must register for one section of each activity listed.,2023,Fall
ENVS 185 (Section 10),47754,In Person,Environmental Impact Analysis,,4.0,ACT,TBA,TBA,Ada Marquez,,08/21/23-12/06/23,1,CA - Students must register for one section of each activity listed.,2023,Fall
ENVS 187 (Section 10),44010,In Person,Environmental Restoration,,4.0,ACT,TBA,TBA,Cristina Siegel,,08/21/23-12/06/23,1,,2023,Fall
IC - See course description for requirements.,,,,,,,,,,,,,,2023,Fall
"LA - Class meets at off-campus location, students must arrange own transportation.",,,,,,,,,,,,,,2023,Fall
ENVS 187 (Section 80),42982,Fully Online,Environmental Restoration,,4.0,LEC,TR,09:00AM-10:15AM,Cristina Siegel,ONLINE,08/21/23-12/06/23,1,,2023,Fall
ENVS 193 (Section 01),43903,In Person,Supervised Projects and Research,,1.0,SUP,TBA,TBA,Katherine Cushing,WSQ115,08/21/23-12/06/23,2,,2023,Fall
IC - See course description for requirements.,,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 193 (Section 02),43904,In Person,Supervised Projects and Research,,2.0,SUP,TBA,TBA,Katherine Cushing,WSQ115,08/21/23-12/06/23,2,,2023,Fall
IC - See course description for requirements.,,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 193 (Section 03),43905,In Person,Supervised Projects and Research,,3.0,SUP,TBA,TBA,Katherine Cushing,WSQ115,08/21/23-12/06/23,1,,2023,Fall
IC - See course description for requirements.,,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 194 (Section 01),42316,Hybrid,Environmental Internship,,1.0,SUP,F,,,,,,,2023,Fall
TBA,F,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 194 (Section 02),42317,Hybrid,Environmental Internship,,2.0,SUP,F,,,,,,,2023,Fall
TBA,F,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 194 (Section 03),42318,Hybrid,Environmental Internship,,3.0,SUP,F,,,,,,,2023,Fall
TBA,F,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 194 (Section 04),43614,Hybrid,Environmental Internship,,4.0,SUP,F,,,,,,,2023,Fall
TBA,F,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 194 (Section 05),43615,Hybrid,Environmental Internship,,5.0,SUP,F,,,,,,,2023,Fall
TBA,F,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,,,,,,,,,,,,,2023,Fall
IJ - Contact instructor for meeting dates.,,,,,,,,,,,,,,2023,Fall
ENVS 198 (Section 01),46726,In Person,Senior Seminar,,4.0,SEM,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Lynne Trulio / Amy Petersen,DMH164,,,,,,,,,,,,2023,Fall
ENVS 198 (Section 02),46904,In Person,Senior Seminar,,4.0,SEM,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Rachel Lazzeri-Aerts / Rachel Lazzeri-Aerts,DMH162,,,,,,,,,,,,2023,Fall
ENVS 210 (Section 01),42036,In Person,Current Topics in Environmental Studies,,1.0,SUP,MW,12:00PM-01:15PM,Rachel O'Malley,WSQ111,08/21/23-12/06/23,7,,2023,Fall
ENVS 210 (Section 02),50534,In Person,Current Topics in Environmental Studies,,2.0,SUP,MW,12:00PM-01:15PM,Rachel O'Malley,WSQ111,08/21/23-12/06/23,9,,2023,Fall
ENVS 210 (Section 03),50535,In Person,Current Topics in Environmental Studies,,3.0,SUP,MW,12:00PM-01:15PM,Rachel O'Malley,WSQ111,08/21/23-12/06/23,0,,2023,Fall
ENVS 250 (Section 01),42689,In Person,Seminar: Environmental Thought and Philosophy,,3.0,SEM,T,10:30AM-01:15PM,Will Russell,WSQ111,08/21/23-12/06/23,2,PC - Prereq - Graduate student status.,2023,Fall
ENVS 285 (Section 80),43344,Fully Online,Graduate Internship,,3.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,2,,2023,Fall
ENVS 291 (Section 02),50977,In Person,Advanced Topics in Environmental Restoration,,4.0,SEM,T,01:30PM-04:15PM,Rachel O'Malley,WSQGRDN,08/21/23-12/06/23,3,,2023,Fall
ENVS 291 (Section 12),50988,In Person,Advanced Topics in Environmental Restoration,,4.0,ACT,T,04:30PM-06:30PM,Rachel O'Malley,WSQGRDN,08/21/23-12/06/23,3,,2023,Fall
ENVS 295 (Section 80),42365,Fully Online,Graduate Teaching Assistant,,3.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,3,,2023,Fall
ENVS 299 (Section 80),41469,Fully Online,Master's Thesis,,1.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,3,,2023,Fall
ENVS 299 (Section 81),41470,Fully Online,Master's Thesis,,2.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,2,,2023,Fall
ENVS 299 (Section 82),41471,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,3,,2023,Fall
ENVS 299 (Section 83),41472,Fully Online,Master's Thesis,,4.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,3,,2023,Fall
ENVS 299 (Section 84),41473,Fully Online,Master's Thesis,,5.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,3,,2023,Fall
ENVS 299 (Section 85),41474,Fully Online,Master's Thesis,,6.0,SUP,TBA,TBA,Rachel O'Malley,ONLINE,08/21/23-12/06/23,0,,2023,Fall
FLED 184Y (Section 01),47014,In Person,Student Teaching II - Classroom Teaching,,4.0,SUP,TBA,TBA,Janice Holly,,08/21/23-12/06/23,6,RO - Not available to Open University students.,2023,Fall
FLED 184Z (Section 01),47015,In Person,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Janice Holly,,08/21/23-12/06/23,6,RO - Not available to Open University students.,2023,Fall
FLED 285 (Section 80),51054,Fully Online,Student Teaching Seminar In Foreign Language Education,,1.0,SEM,R,03:00PM-05:00PM,Avizia Long,ONLINE,08/21/23-12/06/23,6,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FLED 380 (Section 80),50475,Fully Online,Teaching Foreign Languages,,3.0,SEM,T,03:00PM-06:00PM,Avizia Long,ONLINE,08/21/23-12/06/23,3,,2023,Fall
FORL 100W (Section 01),41706,Hybrid,Writing Workshop,WID,3.0,SEM,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Francisco De La Calle / Anna Iacomini-Bernardi,CL206,,,,,,,,,,,,2023,Fall
FORL 180 (Section 01),47360,In Person,Individual Studies in World Languages and Literatures,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
FORL 200W (Section 80),45279,Fully Online,Graduate Research a Writing,GWAR,4.0,SEM,TBA,TBA,Damian Bacich,ONLINE,08/21/23-12/06/23,8,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 101A (Section 80),45285,Fully Online,Advanced French: Reading and Writing,,4.0,LEC,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 102B (Section 80),45286,Fully Online,Francophone Cultures: Through Literature and Cinema,GE: V,3.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,22,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 102C (Section 80),48571,Fully Online,French Culture,,4.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 132 (Section 80),45287,Fully Online,Special Topics in French for Careers,,4.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 140B (Section 80),45288,Fully Online,French Literature 20th-21st Centuries,,4.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,19,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 160 (Section 80),48644,Fully Online,Masters of French Literature,,4.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,19,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 170 (Section 80),48645,Fully Online,Translation and Comparative Stylistics,,4.0,SEM,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,19,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 180 (Section 80),43031,Fully Online,Individual Studies in French,,1.0,SUP,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,0,,2023,Fall
FREN 180 (Section 81),44666,Fully Online,Individual Studies in French,,2.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
FREN 1A (Section 01),45280,In Person,Elementary French,GE: C2,4.0,LEC,TR,03:00PM-04:40PM,Loubna Hafid,CL206,08/21/23-12/06/23,0,,2023,Fall
FREN 1A (Section 80),45281,Fully Online,Elementary French,GE: C2,4.0,LEC,TBA,TBA,Laurence Pilot-Darier-Baziere,ONLINE,08/21/23-12/06/23,8,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 1A (Section 81),45282,Fully Online,Elementary French,GE: C2,4.0,LEC,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,6,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FREN 1B (Section 80),48462,Fully Online,Elementary French,GE: C2,4.0,LEC,W,,,,,,,2023,Fall
TBA,W,,,,,,,,,,,,,2023,Fall
TBA,Françoise Herrmann / Françoise Herrmann,ONLINE,,,,,,,,,,,,2023,Fall
FREN 25A (Section 80),45284,Fully Online,Intermediate French: Reading,GE: C2,4.0,LEC,TBA,TBA,Jean-Luc Desalvo,ONLINE,08/21/23-12/06/23,24,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
FS 100W (Section 01),46911,In Person,Forensic Science Writing Workshop,WID,3.0,LEC,TR,04:30PM-05:45PM,Samantha Peek,HGH225,08/21/23-12/06/23,0,,2023,Fall
FS 101 (Section 01),47434,In Person,Expert Witness Testimony,,3.0,LEC,TR,01:30PM-02:45PM,Jeremiah Garrido / Carlos Singh,DMH354,08/21/23-12/06/23,1,,2023,Fall
FS 106 (Section 01),49662,In Person,Forensic Entomology,,3.0,LEC,M,12:00PM-01:45PM,Jodie Warren,HB207,08/21/23-12/06/23,5,,2023,Fall
FS 106 (Section 11),49663,In Person,Forensic Entomology,,0,LAB,W,12:00PM-01:45PM,Jodie Warren,HB207,08/21/23-12/06/23,5,,2023,Fall
FS 11 (Section 01),49270,In Person,Survey of Forensic Science,,3.0,LEC,TR,12:00PM-01:15PM,Jeremiah Garrido,SH434,08/21/23-12/06/23,0,,2023,Fall
FS 11 (Section 02),50804,In Person,Survey of Forensic Science,,3.0,LEC,TR,03:00PM-04:15PM,Samantha Peek,SH347,08/21/23-12/06/23,0,,2023,Fall
