Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ART 260 (Section 07),51097,Hybrid,Special Tutorials in Art,,3.0,LAB,TBA,TBA,Andrew Blanton,,08/21/23-12/06/23,4,HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
ART 260 (Section 08),51099,Hybrid,Special Tutorials in Art,,3.0,LAB,TBA,TBA,Carla Fisher Schwartz,,08/21/23-12/06/23,4,HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
ART 281 (Section 02),44467,In Person,Interdisciplinary Critique Seminar,,3.0,SEM,R,06:00PM-08:45PM,Christopher Cobillas-Ottinger,ART110,08/21/23-12/06/23,9,Course Topic: Building Context in the Work PC - Prereq - Graduate student status.,2023,Fall
ART 282A (Section 80),40461,Fully Online,Seminar in the Theory and Criticism of Contemporary Art,,3.0,SEM,R,03:00PM-05:45PM,Janet Silk,ONLINE,08/21/23-12/06/23,10,,2023,Fall
ART 297A (Section 01),41447,Hybrid,Master's Special Study,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,10,,2023,Fall
ART 297B (Section 01),41448,Hybrid,Master's Project,,3.0,SUP,TBA,TBA,Shannon Wright,,08/21/23-12/06/23,9,,2023,Fall
ART 298A (Section 01),41449,Hybrid,MFA Project Planning Seminar,,3.0,SUP,TBA,TBA,Adam Shiverdecker,,08/21/23-12/06/23,3,,2023,Fall
ART 298A (Section 02),44577,Hybrid,MFA Project Planning Seminar,,3.0,SUP,TBA,TBA,Rhonda Holberton,,08/21/23-12/06/23,4,,2023,Fall
ART 298A (Section 03),44578,Hybrid,MFA Project Planning Seminar,,3.0,SUP,TBA,TBA,Shaun O'Dell,,08/21/23-12/06/23,4,,2023,Fall
ART 298A (Section 04),44579,Hybrid,MFA Project Planning Seminar,,3.0,SUP,TBA,TBA,Andrew Blanton,,08/21/23-12/06/23,4,,2023,Fall
ART 298A (Section 05),44580,Hybrid,MFA Project Planning Seminar,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,5,,2023,Fall
ART 298B (Section 01),41450,Hybrid,MFA Project,,3.0,SUP,TBA,TBA,Irene Carvajal,,08/21/23-12/06/23,4,,2023,Fall
ART 298B (Section 02),44581,Hybrid,MFA Project,,3.0,SUP,TBA,TBA,Andrew Blanton,,08/21/23-12/06/23,4,,2023,Fall
