Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ART 100W (Section 80),46945,Fully Online,Writing Workshop: Fine Arts,WID,3.0,SEM,TR,09:00AM-10:15AM,Mary Salzman,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
ART 101 (Section 01),41634,In Person,Digital Media Art,,3.0,ACT,TR,12:00PM-02:50PM,Steve Durie,ART237,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
ART 101 (Section 02),44325,In Person,Digital Media Art,,3.0,ACT,MW,12:00PM-02:50PM,Steve Durie,ART237,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
ART 102 (Section 02),42259,In Person,3D Modeling and Printing,,3.0,ACT,MW,03:00PM-05:50PM,David Bayus,ART241,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
ART 102 (Section 80),45883,Fully Online,3D Modeling and Printing,,3.0,ACT,TR,12:00PM-02:50PM,David Bayus,ONLINE,08/21/23-12/06/23,0,,2023,Fall
ART 103 (Section 01),43520,In Person,Art as System,,3.0,ACT,TR,12:00PM-02:50PM,Andrew Blanton,ART241,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
ART 103 (Section 02),47888,In Person,Art as System,,3.0,ACT,TR,03:00PM-05:50PM,Andrew Blanton,ART241,08/21/23-12/06/23,0,,2023,Fall
ART 104 (Section 80),42260,Fully Online,Interdisciplinary Seminar in Digital Media Art,,3.0,SEM,W,12:00PM-02:45PM,G.Craig Hobbs,ONLINE,08/21/23-12/06/23,7,,2023,Fall
ART 104 (Section 81),45823,Fully Online,Interdisciplinary Seminar in Digital Media Art,,3.0,SEM,R,03:00PM-05:50PM,Rhonda Holberton,ONLINE,08/21/23-12/06/23,1,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
