Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
MATH 31 (Section 08),43513,In Person,Calculus II,GE: B4,4.0,SEM,MTWR,10:30AM-11:20AM,Viet Nguyen,SH347,08/21/23-12/06/23,0,,2023,Fall
MATH 31 (Section 09),43508,In Person,Calculus II,GE: B4,4.0,SEM,MTWR,12:00PM-12:50PM,Misako Van Der Poel,SH347,08/21/23-12/06/23,2,,2023,Fall
MATH 31 (Section 10),51018,In Person,Calculus II,GE: B4,4.0,SEM,MWF,09:00AM-10:10AM,Anqi Shao,MH520,08/21/23-12/06/23,7,,2023,Fall
MATH 31 (Section 61),48375,In Person,Calculus II,GE: B4,4.0,SEM,MWF,09:00AM-10:10AM,Misako Van Der Poel,DMH227,08/21/23-12/06/23,1,,2023,Fall
MATH 31 (Section 63),43510,In Person,Calculus II,GE: B4,4.0,SEM,MWF,12:00PM-01:10PM,Medha Bodas,DMH227,08/21/23-12/06/23,1,,2023,Fall
MATH 31 (Section 64),43511,In Person,Calculus II,GE: B4,4.0,SEM,MWF,01:30PM-02:40PM,Medha Bodas,DMH227,08/21/23-12/06/23,0,,2023,Fall
MATH 31W (Section 01),43469,In Person,Calculus II Workshop,,1.0,LAB,MW,10:30AM-11:45AM,Jonas Fahrney,WSQ001D,08/21/23-12/06/23,0,,2023,Fall
MATH 31W (Section 02),43470,In Person,Calculus II Workshop,,1.0,LAB,MW,12:00PM-01:15PM,Jonas Fahrney,WSQ001D,08/21/23-12/06/23,0,,2023,Fall
MATH 31W (Section 03),43471,In Person,Calculus II Workshop,,1.0,LAB,MW,01:30PM-02:45PM,Kevin Nguyen,WSQ001D,08/21/23-12/06/23,2,,2023,Fall
MATH 31W (Section 04),43472,In Person,Calculus II Workshop,,1.0,LAB,MW,03:00PM-04:15PM,Bala Meghana Shivani Sripathi Panditharadhyula,WSQ001D,08/21/23-12/06/23,1,,2023,Fall
MATH 31W (Section 05),43473,In Person,Calculus II Workshop,,1.0,LAB,MW,04:30PM-05:45PM,Bala Meghana Shivani Sripathi Panditharadhyula,WSQ001D,08/21/23-12/06/23,2,,2023,Fall
MATH 31W (Section 06),43476,In Person,Calculus II Workshop,,1.0,LAB,TR,10:30AM-11:45AM,Jonas Fahrney,WSQ001D,08/21/23-12/06/23,0,,2023,Fall
MATH 31W (Section 07),43474,In Person,Calculus II Workshop,,1.0,LAB,TR,01:30PM-02:45PM,Jonas Fahrney,WSQ001D,08/21/23-12/06/23,0,,2023,Fall
MATH 31W (Section 08),50905,In Person,Calculus II Workshop,,1.0,LAB,MW,09:00AM-10:15AM,Jeffrey Beckstrand,DH416,08/21/23-12/06/23,2,,2023,Fall
MATH 31W (Section 09),50956,In Person,Calculus II Workshop,,1.0,LAB,TR,01:30PM-02:45PM,Jeffrey Beckstrand,MH234,08/21/23-12/06/23,1,,2023,Fall
MATH 31X (Section 02),43529,In Person,Calculus II,GE: B4,4.0,LEC,MWF,10:30AM-11:40AM,Misako Van Der Poel,DMH227,08/21/23-12/06/23,0,,2023,Fall
MATH 31X (Section 05),44304,In Person,Calculus II,GE: B4,4.0,LEC,MWF,03:00PM-04:10PM,Medha Bodas,DMH227,08/21/23-12/06/23,2,,2023,Fall
MATH 31X (Section 06),48380,In Person,Calculus II,GE: B4,4.0,LEC,MTWR,07:30AM-08:20AM,Carl Bugarin,SH347,08/21/23-12/06/23,0,,2023,Fall
MATH 31X (Section 07),44318,In Person,Calculus II,GE: B4,4.0,LEC,MTWR,09:00AM-09:50AM,Carl Bugarin,SH347,08/21/23-12/06/23,1,,2023,Fall
MATH 31X (Section 08),43531,In Person,Calculus II,GE: B4,4.0,LEC,MTWR,10:30AM-11:20AM,Viet Nguyen,SH347,08/21/23-12/06/23,0,,2023,Fall
MATH 31X (Section 09),43532,In Person,Calculus II,GE: B4,4.0,LEC,MTWR,12:00PM-12:50PM,Misako Van Der Poel,SH347,08/21/23-12/06/23,0,,2023,Fall
MATH 31X (Section 10),51019,In Person,Calculus II,GE: B4,4.0,LEC,MWF,09:00AM-10:10AM,Anqi Shao,MH520,08/21/23-12/06/23,1,,2023,Fall
MATH 31X (Section 61),43528,In Person,Calculus II,GE: B4,4.0,LEC,MWF,09:00AM-10:10AM,Misako Van Der Poel,DMH227,08/21/23-12/06/23,0,,2023,Fall
MATH 31X (Section 63),44317,In Person,Calculus II,GE: B4,4.0,LEC,MWF,12:00PM-01:10PM,Medha Bodas,DMH227,08/21/23-12/06/23,1,,2023,Fall
MATH 31X (Section 64),43530,In Person,Calculus II,GE: B4,4.0,LEC,MWF,01:30PM-02:40PM,Medha Bodas,DMH227,08/21/23-12/06/23,0,,2023,Fall
MATH 32 (Section 01),43514,In Person,Calculus III,GE: B4,3.0,LEC,MW,09:00AM-10:15AM,Giang Le,BBC224,08/21/23-12/06/23,0,,2023,Fall
MATH 32 (Section 02),43515,In Person,Calculus III,GE: B4,3.0,LEC,MW,10:30AM-11:45AM,Patrick Murphy,MH224,08/21/23-12/06/23,0,,2023,Fall
MATH 32 (Section 03),43518,In Person,Calculus III,GE: B4,3.0,LEC,MW,12:00PM-01:15PM,Richard Low,MH224,08/21/23-12/06/23,0,,2023,Fall
MATH 32 (Section 04),43517,In Person,Calculus III,GE: B4,3.0,LEC,MW,01:30PM-02:45PM,Giang Le,MH523,08/21/23-12/06/23,0,,2023,Fall
