Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CCS 170 (Section 80),48674,Fully Online,Chicana/Chicano Film,,3.0,LEC,R,03:00PM-05:45PM,Daniel Valencia Jr,ONLINE,08/21/23-12/06/23,10,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CCS 180 (Section 03),43801,In Person,Individual Studies,,1.0,SUP,MW,07:00PM-08:00PM,Maria Luisa Colmenarez,,08/21/23-12/06/23,11,,2023,Fall
CCS 200 (Section 01),42902,In Person,Ideology and the Chicana/o Experience,GWAR,3.0,SEM,R,06:00PM-08:45PM,Johnny Ramirez,CL238,08/21/23-12/06/23,1,,2023,Fall
CCS 205 (Section 01),49256,In Person,Chicana/o History,,3.0,SEM,T,06:00PM-08:45PM,Juan Pablo Mercado,CL205,08/21/23-12/06/23,1,,2023,Fall
CCS 210 (Section 01),44374,In Person,Foundations in Chicana/o Studies,,3.0,SEM,S,10:30AM-03:00PM,Julia Curry,CL238,08/21/23-12/06/23,3,,2023,Fall
CCS 230 (Section 01),48686,In Person,Policy Analysis and the Chicana/o Community,,3.0,SEM,M,06:00PM-08:45PM,Alfredo Huante,HGH221,08/21/23-12/06/23,4,,2023,Fall
CCS 240 (Section 01),42904,In Person,Applied Chicana/o Studies Seminar,,3.0,SEM,W,06:00PM-08:45PM,Christine Vega,CL238,08/21/23-12/06/23,0,,2023,Fall
CCS 25 (Section 01),48639,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,09:00AM-10:15AM,Frank Ortega,DMH234,08/21/23-12/06/23,29,,2023,Fall
CCS 25 (Section 03),48657,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,12:00PM-01:15PM,Jonathan Gomez,HGH225,08/21/23-12/06/23,21,,2023,Fall
CCS 25 (Section 04),48668,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,TR,09:00AM-10:15AM,Felipe Ponce,DMH164,08/21/23-12/06/23,25,,2023,Fall
CCS 25 (Section 05),50553,Hybrid,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,M,10:30AM-11:45AM,Frank Ortega,CL310,08/21/23-12/06/23,38,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
CCS 25 (Section 06),50554,Hybrid,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,T,10:30AM-11:45AM,Frank Ortega,HGH225,08/21/23-12/06/23,32,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
CCS 25 (Section 80),48669,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: F,3.0,LEC,MW,01:30PM-02:45PM,Kim Miranda,ONLINE,08/21/23-12/06/23,33,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CCS 298 (Section 01),42905,In Person,Special Studies,,3.0,SUP,TBA,TBA,Johnny Ramirez,,08/21/23-12/06/23,2,,2023,Fall
RB - Requires Consent of graduate or undergraduate advisor.,,,,,,,,,,,,,,2023,Fall
