Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
MATH 1 (Section 71),43499,In Person,Mathematical Reasoning,GE: B4,3.0,LEC,MW,12:00PM-01:15PM,Hadley Debrine,MH425,08/21/23-12/06/23,4,,2023,Fall
MATH 1 (Section 72),50425,In Person,Mathematical Reasoning,GE: B4,3.0,LEC,MW,09:00AM-10:15AM,Hadley Debrine,MH234,08/21/23-12/06/23,1,,2023,Fall
MATH 1001S (Section 01),42969,In Person,Supported Instruction for MATH 001,,1.0,ACT,MW,09:00AM-09:50AM,Trisha Bergthold,MH233,08/21/23-12/06/23,4,,2023,Fall
MATH 1001S (Section 02),42970,In Person,Supported Instruction for MATH 001,,1.0,ACT,MW,12:00PM-12:50PM,Suma Nagral,MH233,08/21/23-12/06/23,1,,2023,Fall
MATH 1001S (Section 03),42971,In Person,Supported Instruction for MATH 001,,1.0,ACT,MW,03:00PM-03:50PM,Suma Nagral,MH233,08/21/23-12/06/23,6,,2023,Fall
MATH 1001S (Section 04),42972,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,09:00AM-09:50AM,Trisha Bergthold,DH416,08/21/23-12/06/23,5,RC - Requires department release of permission number.,2023,Fall
MATH 1001S (Section 05),42973,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,01:30PM-02:20PM,Trisha Bergthold,DH416,08/21/23-12/06/23,2,,2023,Fall
MATH 1001S (Section 06),42974,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,03:00PM-03:50PM,Trisha Bergthold,DH416,08/21/23-12/06/23,4,,2023,Fall
MATH 1001S (Section 07),50672,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,12:00PM-12:50PM,Trisha Bergthold,DH416,08/21/23-12/06/23,4,,2023,Fall
MATH 1001S (Section 08),50760,In Person,Supported Instruction for MATH 001,,1.0,ACT,MW,10:30AM-11:20AM,Trisha Bergthold,MH233,08/21/23-12/06/23,4,,2023,Fall
MATH 1001S (Section 09),50767,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,12:00PM-12:50PM,Trisha Bergthold,SH315,08/21/23-12/06/23,0,,2023,Fall
MATH 1001S (Section 10),50789,In Person,Supported Instruction for MATH 001,,1.0,ACT,MW,12:00PM-12:50PM,Trisha Bergthold,SH348,08/21/23-12/06/23,2,,2023,Fall
MATH 1001S (Section 11),50870,In Person,Supported Instruction for MATH 001,,1.0,ACT,TR,03:00PM-03:50PM,Suma Nagral,SH238,08/21/23-12/06/23,0,,2023,Fall
MATH 1010AS (Section 01),46178,In Person,Support Course for MATH 10A,,1.0,ACT,TR,09:00AM-09:50AM,Steven Rogalsky,MH234,08/21/23-12/06/23,0,,2023,Fall
MATH 1010AS (Section 02),46179,In Person,Support Course for MATH 10A,,1.0,ACT,TR,03:00PM-03:50PM,Steven Rogalsky,MH234,08/21/23-12/06/23,1,,2023,Fall
MATH 1018AS (Section 01),44464,In Person,Support Course for MATH 18A,,1.0,ACT,MW,12:00PM-12:50PM,Maggie Selzer,WSQ001E,08/21/23-12/06/23,2,,2023,Fall
MATH 1018AS (Section 02),47251,In Person,Support Course for MATH 18A,,1.0,ACT,TR,03:00PM-03:50PM,Matt Villamarin,WSQ001E,08/21/23-12/06/23,3,RC - Requires department release of permission number.,2023,Fall
MATH 1018AS (Section 03),50663,In Person,Support Course for MATH 18A,,1.0,ACT,TR,01:30PM-02:20PM,Komal Sanjaykumar Joshi,WSQ001C,08/21/23-12/06/23,2,,2023,Fall
MATH 1018AS (Section 04),50664,In Person,Support Course for MATH 18A,,1.0,ACT,TR,10:30AM-11:20AM,Brenda Lopez Rodas,MH223,08/21/23-12/06/23,0,,2023,Fall
MATH 1018AS (Section 60),46181,In Person,Support Course for MATH 18A,,1.0,ACT,MW,04:30PM-05:20PM,Genevieve Nguyen,WSQ001E,08/21/23-12/06/23,1,,2023,Fall
MATH 1019S (Section 01),42975,In Person,Supported Instruction for MATH 19,,1.0,ACT,MW,06:00PM-06:50PM,Genevieve Nguyen,SCI321,08/21/23-12/06/23,1,,2023,Fall
MATH 1019S (Section 02),43806,In Person,Supported Instruction for MATH 19,,1.0,ACT,TR,06:00PM-06:50PM,Genevieve Nguyen,SCI321,08/21/23-12/06/23,14,,2023,Fall
MATH 1019S (Section 60),47289,In Person,Supported Instruction for MATH 19,,1.0,ACT,TR,10:30AM-11:20AM,Kevin Lopez,SCI321,08/21/23-12/06/23,5,,2023,Fall
MATH 105 (Section 01),43454,In Person,"Concepts in Mathematics, Probability, Statistics",,3.0,LEC,MW,04:30PM-05:45PM,Linda Roper,MH425,08/21/23-12/06/23,3,,2023,Fall
MATH 105 (Section 02),43455,In Person,"Concepts in Mathematics, Probability, Statistics",,3.0,LEC,TR,03:00PM-04:15PM,Linda Roper,MH425,08/21/23-12/06/23,0,,2023,Fall
MATH 106 (Section 01),43456,In Person,Intuitive Geometry,,3.0,LEC,MW,01:30PM-02:45PM,Linda Roper,MH323,08/21/23-12/06/23,0,,2023,Fall
MATH 106 (Section 02),46797,In Person,Intuitive Geometry,,3.0,LEC,MW,03:00PM-04:15PM,Cheryl Roddick,CL238,08/21/23-12/06/23,11,,2023,Fall
MATH 108 (Section 02),50151,In Person,Introduction to Abstract Mathematics and Proofs,,3.0,LEC,MW,01:30PM-02:45PM,Marilyn Blockus,MH234,08/21/23-12/06/23,0,,2023,Fall
MATH 10A (Section 01),45651,Hybrid,Mathematics in Art and Music,GE: B4,3.0,LEC,R,,,,,,,2023,Fall
MATH 112 (Section 01),40626,In Person,Vector Calculus,,3.0,LEC,TR,04:30PM-05:45PM,Richard Low,MH223,08/21/23-12/06/23,12,,2023,Fall
MATH 115 (Section 01),40776,In Person,Modern Geometry and Transformations,,3.0,SEM,TR,12:00PM-01:15PM,Marion Campisi,MH223,08/21/23-12/06/23,4,,2023,Fall
MATH 12 (Section 01),42865,In Person,Number Systems,GE: B4,3.0,LEC,MW,03:00PM-04:15PM,Linda Roper,MH425,08/21/23-12/06/23,0,,2023,Fall
MATH 12 (Section 02),42866,In Person,Number Systems,GE: B4,3.0,LEC,TR,01:30PM-02:45PM,Linda Roper,MH425,08/21/23-12/06/23,0,,2023,Fall
MATH 127 (Section 01),47941,In Person,Applied and Industrial Algebra,,3.0,LEC,MW,10:30AM-11:45AM,Timothy Hsu,MH235,08/21/23-12/06/23,8,,2023,Fall
MATH 128A (Section 01),44612,In Person,Abstract Algebra I,,3.0,SEM,TR,03:00PM-04:15PM,Edgar Bering,MH223,08/21/23-12/06/23,0,,2023,Fall
MATH 131B (Section 01),44629,In Person,Introduction to Real Variables,,3.0,SEM,MW,12:00PM-01:15PM,Timothy Hsu,MH235,08/21/23-12/06/23,17,,2023,Fall
MATH 132 (Section 01),44447,In Person,Advanced Calculus,,3.0,LEC,MW,03:00PM-04:15PM,Slobodan Simic,MH235,08/21/23-12/06/23,0,,2023,Fall
MATH 138 (Section 01),47046,In Person,Complex Variables,,3.0,SEM,TR,01:30PM-02:45PM,Liam Stanton,SH239,08/21/23-12/06/23,5,,2023,Fall
MATH 142 (Section 01),41623,In Person,Introduction to Combinatorics,,3.0,SEM,TR,12:00PM-01:15PM,Wasin So,MH323,08/21/23-12/06/23,1,RC - Requires department release of permission number.,2023,Fall
MATH 142 (Section 02),41699,In Person,Introduction to Combinatorics,,3.0,SEM,TR,03:00PM-04:15PM,Wasin So,MH323,08/21/23-12/06/23,5,RC - Requires department release of permission number.,2023,Fall
MATH 143M (Section 01),48434,In Person,Numerical Analysis and Scientific Computing,,3.0,LEC,MW,09:00AM-10:15AM,Mohammad Saleem,MH320,08/21/23-12/06/23,5,,2023,Fall
MATH 143M (Section 02),48435,In Person,Numerical Analysis and Scientific Computing,,3.0,LEC,TR,09:00AM-10:15AM,Mohammad Saleem,MH323,08/21/23-12/06/23,5,,2023,Fall
MATH 15 (Section 01),49692,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,DIS,W,12:00PM-12:50PM,Mokhtar Zoubeidi,ENG232,08/21/23-12/06/23,25,,2023,Fall
MATH 15 (Section 02),49693,Hybrid,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,T,,,,,,,2023,Fall
MATH 15 (Section 03),49694,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,DIS,W,08:00AM-08:50AM,Mokhtar Zoubeidi,ENG232,08/21/23-12/06/23,26,,2023,Fall
MATH 15 (Section 04),49695,Hybrid,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,T,,,,,,,2023,Fall
MATH 15 (Section 05),49696,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,DIS,W,10:00AM-10:50AM,Mokhtar Zoubeidi,ENG232,08/21/23-12/06/23,24,,2023,Fall
MATH 15 (Section 06),49697,Hybrid,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,M,,,,,,,2023,Fall
MATH 15 (Section 07),49698,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,DIS,W,11:00AM-11:50AM,Mokhtar Zoubeidi,ENG232,08/21/23-12/06/23,29,,2023,Fall
MATH 15 (Section 08),49699,Hybrid,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,T,,,,,,,2023,Fall
MATH 15 (Section 09),49700,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,DIS,F,12:00PM-12:50PM,Fatemeh Yarahmadi,ENG232,08/21/23-12/06/23,23,,2023,Fall
MATH 15 (Section 10),49701,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,MW,12:00PM-01:45PM,Fatemeh Yarahmadi,ONLINE,08/21/23-12/06/23,23,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
