Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
COMM 20 (Section 57),49170,In Person,Public Speaking,GE: A1,3.0,LEC,TR,03:00PM-04:15PM,Dana Morella-Pozzi,HGH217,08/21/23-12/06/23,0,,2023,Fall
COMM 20 (Section 59),50964,Hybrid,Public Speaking,GE: A1,3.0,LEC,T,09:00AM-10:15AM,Kendall Ward / Kendall Ward,HGH229,08/21/23-12/06/23,0,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
COMM 20 (Section 60),50973,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Rahmon Pashtunyar,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 61),50974,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Nancy Park,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 80),50076,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Ash Rahmani,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 81),50184,Fully Online,Public Speaking,GE: A1,3.0,LEC,W,12:00PM-01:15PM,David Ramos / David Ramos,ONLINE,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 82),50864,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,David Ramos,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 83),50883,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Ash Rahmani,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 84),50884,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Nancy Park,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 20 (Section 85),51086,Fully Online,Public Speaking,GE: A1,3.0,LEC,TBA,TBA,Tina Lim,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 200C (Section 01),49108,In Person,Graduate Study in Communication,GWAR,4.0,SEM,W,06:00PM-08:45PM,Felipe Gómez / Felipe Gómez,HGH229,08/21/23-12/06/23,10,,2023,Fall
COMM 201C (Section 01),49109,In Person,Methods and Methodologies of Communication Studies,,4.0,SEM,T,06:00PM-08:45PM,Marie Haverfield / Marie Haverfield,HGH229,08/21/23-12/06/23,9,,2023,Fall
COMM 20EL (Section 01),50183,In Person,Public Speaking for English Language Learners,GE: A1,3.0,LEC,F,10:00AM-12:45PM,Ching Ching Tan,HGH219,08/21/23-12/06/23,0,,2023,Fall
COMM 21 (Section 80),48973,Fully Online,Performing Culture and Society,GE: D,3.0,LEC,MW,12:00PM-01:15PM,Sarah Mcgaffey,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 274F (Section 01),49112,In Person,Intercultural Communication,,4.0,SEM,M,06:00PM-08:45PM,Rona Halualani / Rona Halualani,HGH229,08/21/23-12/06/23,3,,2023,Fall
COMM 280 (Section 80),50522,Fully Online,Independent Study,,2.0,SUP,TBA,TBA,Marie Haverfield,ONLINE,08/21/23-12/06/23,1,,2023,Fall
COMM 280 (Section 81),50841,Fully Online,Independent Study,,4.0,SUP,TBA,TBA,Marie Haverfield,ONLINE,08/21/23-12/06/23,1,,2023,Fall
COMM 280 (Section 82),50932,Fully Online,Independent Study,,1.0,SUP,TBA,TBA,Marie Haverfield,ONLINE,08/21/23-12/06/23,0,,2023,Fall
COMM 285A (Section 80),49113,Fully Online,Teaching Associate Practicum I,,2.0,SUP,TBA,TBA,Tabitha Hart,ONLINE,08/21/23-12/06/23,1,,2023,Fall
COMM 285B (Section 80),50822,Fully Online,Teaching Associate Practicum II,,1.0,SUP,TBA,TBA,Tabitha Hart,ONLINE,08/21/23-12/06/23,6,,2023,Fall
COMM 285B (Section 81),50823,Fully Online,Teaching Associate Practicum II,,2.0,SUP,TBA,TBA,Tabitha Hart,ONLINE,08/21/23-12/06/23,5,,2023,Fall
COMM 291 (Section 80),49031,Fully Online,Communication Studies Graduate Internship Program,,1.0,SUP,TBA,TBA,Carol-Lynn Perez,ONLINE,08/21/23-12/06/23,4,,2023,Fall
COMM 291 (Section 81),49032,Fully Online,Communication Studies Graduate Internship Program,,2.0,SUP,TBA,TBA,Carol-Lynn Perez,ONLINE,08/21/23-12/06/23,3,,2023,Fall
COMM 291 (Section 82),49033,Fully Online,Communication Studies Graduate Internship Program,,3.0,SUP,TBA,TBA,Carol-Lynn Perez,ONLINE,08/21/23-12/06/23,5,,2023,Fall
COMM 291 (Section 83),49034,Fully Online,Communication Studies Graduate Internship Program,,4.0,SUP,TBA,TBA,Carol-Lynn Perez,ONLINE,08/21/23-12/06/23,4,,2023,Fall
COMM 40 (Section 01),48954,In Person,Argumentation and Advocacy,GE: A1,3.0,DIS,TR,10:30AM-11:45AM,Nancy Park,HGH219,08/21/23-12/06/23,1,,2023,Fall
COMM 40 (Section 02),48956,In Person,Argumentation and Advocacy,GE: A1,3.0,DIS,TR,09:00AM-10:15AM,Kim Yee,HGH219,08/21/23-12/06/23,3,,2023,Fall
COMM 40 (Section 80),48953,Fully Online,Argumentation and Advocacy,GE: A1,3.0,DIS,TBA,TBA,Tina Lim,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 45 (Section 80),48974,Fully Online,Media and Culture,GE: A3,3.0,LEC,TBA,TBA,Patricia Daley- Harms,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 45 (Section 81),48977,Fully Online,Media and Culture,GE: A3,3.0,LEC,TBA,TBA,Kathy Werking,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 45 (Section 82),48976,Fully Online,Media and Culture,GE: A3,3.0,LEC,TBA,TBA,Gina Firenzi,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 45 (Section 83),48979,Fully Online,Media and Culture,GE: A3,3.0,LEC,TBA,TBA,Kathy Werking,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 74 (Section 01),48981,In Person,Fundamentals of Intercultural Communication,GE: E,3.0,LEC,MW,09:00AM-10:15AM,Rahmon Pashtunyar,HGH219,08/21/23-12/06/23,0,,2023,Fall
COMM 74 (Section 02),48982,In Person,Fundamentals of Intercultural Communication,GE: E,3.0,LEC,TR,12:00PM-01:15PM,David Ramos,BBC223,08/21/23-12/06/23,0,,2023,Fall
COMM 80 (Section 80),48999,Fully Online,Communication Workshop,,1.0,ACT,TBA,TBA,Roxanne Cnudde,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 80 (Section 81),49000,Fully Online,Communication Workshop,,1.0,ACT,TBA,TBA,Roxanne Cnudde,ONLINE,08/21/23-12/06/23,3,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
COMM 91J (Section 80),49115,Fully Online,Judge Training,,1.0,ACT,TBA,TBA,Kim Yee,ONLINE,08/21/23-12/06/23,13,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CS 100W (Section 01),43761,Hybrid,Technical Writing Workshop,WID,3.0,SEM,W,01:30PM-02:45PM,Alesya Petty,SCI311,08/21/23-12/06/23,1,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
CS 100W (Section 03),50586,Hybrid,Technical Writing Workshop,WID,3.0,SEM,W,12:00PM-01:15PM,Alesya Petty / Alesya Petty,SCI311,08/21/23-12/06/23,0,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
