Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ANI 162 (Section 02),46938,In Person,Digital Animation II,,3.0,ACT,MW,12:00PM-02:50PM,Bryan Lind,ART224,08/21/23-12/06/23,1,,2023,Fall
ANI 162 (Section 03),48344,In Person,Digital Animation II,,3.0,ACT,MW,03:00PM-05:50PM,Bryan Lind,ART224,08/21/23-12/06/23,0,,2023,Fall
ANI 179 (Section 01),50511,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,12:00PM-02:50PM,Kevin Mannens,ART222,08/21/23-12/06/23,5,,2023,Fall
ANI 179 (Section 02),50512,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,03:00PM-05:50PM,Kevin Mannens,ART222,08/21/23-12/06/23,5,,2023,Fall
ANI 180 (Section 01),41382,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,David Chai,ONLINE,08/21/23-12/06/23,40,,2023,Fall
ANI 198 (Section 01),41383,In Person,Senior Seminar Animation/Illustration,,3.0,ACT,F,09:00AM-02:40PM,Raquel Coelho,ART224,08/21/23-12/06/23,2,RO - Not available to Open University students.,2023,Fall
ANI 198 (Section 02),41384,In Person,Senior Seminar Animation/Illustration,,3.0,ACT,F,09:00AM-02:40PM,Tom Austin,ART222,08/21/23-12/06/23,7,RO - Not available to Open University students.,2023,Fall
ANI 198 (Section 03),46939,In Person,Senior Seminar Animation/Illustration,,3.0,ACT,F,09:00AM-02:40PM,Jeff Biancalana,ART243,08/21/23-12/06/23,4,,2023,Fall
ANI 198 (Section 81),48345,Fully Online,Senior Seminar Animation/Illustration,,3.0,ACT,TR,06:00PM-08:50PM,Colin Fix,ONLINE,08/21/23-12/06/23,7,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
ANI 198 (Section 82),50653,Fully Online,Senior Seminar Animation/Illustration,,3.0,ACT,MW,06:00PM-08:50PM,Chris Zollna,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
