Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
PH 99 (Section 02),45703,In Person,Introduction to Public Health,,3.0,LEC,TR,09:00AM-10:15AM,Felicia Noonis,CL324,08/21/23-12/06/23,2,,2023,Fall
PH 99 (Section 03),49291,In Person,Introduction to Public Health,,3.0,LEC,TR,03:00PM-04:15PM,Felicia Noonis,SH314,08/21/23-12/06/23,21,,2023,Fall
PHIL 10 (Section 01),40145,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,MW,09:00AM-10:15AM,Kyle Hertsch,DMH149B,08/21/23-12/06/23,0,,2023,Fall
PHIL 10 (Section 02),40146,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,MW,12:00PM-01:15PM,David Mcreynolds,SH241,08/21/23-12/06/23,1,,2023,Fall
PHIL 10 (Section 03),44295,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,MW,03:00PM-04:15PM,Kyle Hertsch,DMH149B,08/21/23-12/06/23,0,,2023,Fall
PHIL 10 (Section 04),40277,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,TR,09:00AM-10:15AM,David Mcreynolds,DMH208,08/21/23-12/06/23,0,,2023,Fall
PHIL 10 (Section 05),44296,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,TR,01:30PM-02:45PM,Brady Frey / Patricia Frederick,SH241,08/21/23-12/06/23,1,,2023,Fall
PHIL 10 (Section 06),40738,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,TR,03:00PM-04:15PM,Karin Brown,DMH149B,08/21/23-12/06/23,1,,2023,Fall
PHIL 10 (Section 07),48105,In Person,Introduction to Philosophy,GE: C2,3.0,LEC,F,09:30AM-12:15PM,Kyle Hertsch,DMH149B,08/21/23-12/06/23,0,,2023,Fall
PHIL 10 (Section 80),42631,Fully Online,Introduction to Philosophy,GE: C2,3.0,LEC,TBA,TBA,Javier Cardoza-Kon,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 10 (Section 82),48108,Fully Online,Introduction to Philosophy,GE: C2,3.0,LEC,TBA,TBA,Javier Cardoza-Kon,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 104 (Section 01),48172,In Person,Asian Philosophy,GE: V,3.0,LEC,MW,10:30AM-11:45AM,Karin Brown,DMH149B,08/21/23-12/06/23,28,,2023,Fall
PHIL 104 (Section 02),48173,In Person,Asian Philosophy,GE: V,3.0,LEC,MW,01:30PM-02:45PM,Karin Brown,DMH149B,08/21/23-12/06/23,29,,2023,Fall
PHIL 104 (Section 80),48174,Fully Online,Asian Philosophy,GE: V,3.0,LEC,TBA,TBA,Janet Giddings,ONLINE,08/21/23-12/06/23,32,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 104 (Section 81),48175,Fully Online,Asian Philosophy,GE: V,3.0,LEC,TBA,TBA,Janet Giddings,ONLINE,08/21/23-12/06/23,29,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 110 (Section 80),44802,Fully Online,"Science, Technology and Human Values",GE: V,3.0,LEC,TBA,TBA,Kyle Yrigoyen,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 110 (Section 81),44803,Fully Online,"Science, Technology and Human Values",GE: V,3.0,LEC,TBA,TBA,Lisa Bernasconi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 110 (Section 82),48165,Fully Online,"Science, Technology and Human Values",GE: V,3.0,LEC,TBA,TBA,Lisa Bernasconi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 118 (Section 01),48181,In Person,Latin American Philosophy,,3.0,LEC,R,03:00PM-05:45PM,Carlos Sanchez,SH241,08/21/23-12/06/23,26,,2023,Fall
PHIL 12 (Section 01),40147,In Person,Philosophy of the Person,GE: E,3.0,LEC,MW,12:00PM-01:15PM,Raymond Noriega,DMH149B,08/21/23-12/06/23,0,,2023,Fall
PHIL 12 (Section 02),42025,In Person,Philosophy of the Person,GE: E,3.0,LEC,TR,09:00AM-10:15AM,Thomas Leddy,SH241,08/21/23-12/06/23,3,,2023,Fall
PHIL 12 (Section 03),43657,In Person,Philosophy of the Person,GE: E,3.0,LEC,TR,12:00PM-01:15PM,Nathan Osborne,DMH208,08/21/23-12/06/23,1,,2023,Fall
PHIL 12 (Section 04),48113,In Person,Philosophy of the Person,GE: E,3.0,LEC,F,12:30PM-03:15PM,Nathan Osborne,DMH149B,08/21/23-12/06/23,5,,2023,Fall
PHIL 126 (Section 80),48184,Fully Online,Environmental Ethics and Philosophy,,3.0,LEC,TBA,TBA,Michael Jordan,ONLINE,08/21/23-12/06/23,9,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 132 (Section 80),44809,Fully Online,Ethical Theory,,3.0,SEM,TBA,TBA,Trevor Gullion,ONLINE,08/21/23-12/06/23,7,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 133 (Section 01),44285,In Person,Ethics in Science,GE: V,3.0,LEC,TR,01:30PM-02:45PM,Riana Betzler,BBC222,08/21/23-12/06/23,1,,2023,Fall
PHIL 133 (Section 80),44841,Fully Online,Ethics in Science,GE: V,3.0,LEC,TBA,TBA,Jordan Liz,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 134 (Section 80),44842,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 134 (Section 81),44843,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,08/21/23-12/06/23,3,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 134 (Section 82),44844,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 134 (Section 84),44846,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Kyle Yrigoyen,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 159 (Section 01),48187,In Person,Philosophy of Mind,,3.0,SEM,T,03:00PM-05:45PM,Riana Betzler,SH241,08/21/23-12/06/23,24,,2023,Fall
PHIL 160 (Section 01),40907,In Person,Philosophy of Science,GE: R,3.0,LEC,MW,09:00AM-10:15AM,Harlan Mcghan,SH241,08/21/23-12/06/23,11,,2023,Fall
PHIL 160 (Section 03),43712,In Person,Philosophy of Science,GE: R,3.0,LEC,TR,12:00PM-01:15PM,Harlan Mcghan,BBC222,08/21/23-12/06/23,24,,2023,Fall
PHIL 180 (Section 80),41266,Fully Online,Individual Studies,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 180 (Section 81),41584,Fully Online,Individual Studies,,2.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 180 (Section 82),41585,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 180 (Section 83),42698,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 184 (Section 80),41267,Fully Online,Directed Reading,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 184 (Section 81),41586,Fully Online,Directed Reading,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,5,,2023,Fall
PHIL 186 (Section 01),48225,In Person,Professional and Business Ethics,GE: S,3.0,LEC,MW,07:30AM-08:45AM,John Wilhelmsson,BBC222,08/21/23-12/06/23,33,,2023,Fall
