Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CS 158B (Section 80),50898,Fully Online,Computer Network Management,,3.0,SEM,MW,07:30PM-08:45PM,Paul Nguyen,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CS 160 (Section 01),44587,In Person,Software Engineering,,3.0,SEM,MW,04:30PM-05:45PM,Frank Butt,MH222,08/21/23-12/06/23,3,,2023,Fall
CS 160 (Section 80),43681,Fully Online,Software Engineering,,3.0,SEM,TR,03:00PM-04:15PM,Chris Tseng,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CS 160 (Section 81),44370,Fully Online,Software Engineering,,3.0,SEM,TR,04:30PM-05:45PM,Chris Tseng,ONLINE,08/21/23-12/06/23,17,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CS 166 (Section 01),44073,In Person,Information Security,,3.0,LEC,TR,03:00PM-04:15PM,Chao-Li Tarng,BBC204,08/21/23-12/06/23,32,,2023,Fall
CS 166 (Section 02),44372,In Person,Information Security,,3.0,LEC,TR,10:30AM-11:45AM,Mark Stamp,DH450,08/21/23-12/06/23,0,,2023,Fall
CS 171 (Section 01),44089,In Person,Introduction to Machine Learning,,3.0,LEC,TR,10:30AM-11:45AM,Fabio Di Troia,SH435,08/21/23-12/06/23,2,,2023,Fall
CS 171 (Section 02),46822,In Person,Introduction to Machine Learning,,3.0,LEC,MW,10:30AM-11:45AM,Saptarshi Sengupta,DH450,08/21/23-12/06/23,1,,2023,Fall
CS 171 (Section 04),50880,In Person,Introduction to Machine Learning,,3.0,LEC,TR,12:00PM-01:15PM,Tahereh Arabghalizi,DMH226B,08/21/23-12/06/23,21,,2023,Fall
CS 174 (Section 01),48416,In Person,Server-side Web Programming,,3.0,SEM,TR,12:00PM-01:15PM,Ritik Mehta,BBC202,08/21/23-12/06/23,0,,2023,Fall
CS 174 (Section 02),50941,In Person,Server-side Web Programming,,3.0,SEM,TR,01:30PM-02:45PM,Quang Duy Tran,SCI311,08/21/23-12/06/23,1,,2023,Fall
CS 175 (Section 80),43300,Fully Online,Mobile Device Development,,3.0,LEC,TR,06:00PM-07:15PM,Ramin Moazeni,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
