Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CHAD 80 (Section 01),45636,In Person,Quantitative Analysis in Developmental Science,GE: B4,3.0,LEC,MW,10:30AM-11:45AM,Janet Bang (She/Her),SH212,08/21/23-12/06/23,3,,2023,Fall
CHAD 80 (Section 02),45637,In Person,Quantitative Analysis in Developmental Science,GE: B4,3.0,LEC,MW,12:00PM-01:15PM,Janet Bang (She/Her),SH212,08/21/23-12/06/23,7,,2023,Fall
CHE 110B (Section 01),47057,In Person,Computational Methods in Chemical Engineering,,2.0,LEC,R,03:00PM-03:50PM,Gautam Kumar,ENG333,08/21/23-12/06/23,0,,2023,Fall
CHE 110B (Section 02),47058,In Person,Computational Methods in Chemical Engineering,,2.0,LAB,T,03:00PM-05:45PM,Gautam Kumar,ENG333,08/21/23-12/06/23,0,,2023,Fall
CHE 115 (Section 01),43639,In Person,Industrial Chemical Calculations,,3.0,LEC,TR,01:30PM-02:45PM,Claire Komives,ENG401,08/21/23-12/06/23,23,,2023,Fall
CHE 158 (Section 01),43142,In Person,Kinetics and Reactor Design,,3.0,SEM,M,09:00AM-10:45AM,Anand Ramasubramanian,ENG333,08/21/23-12/06/23,25,,2023,Fall
CHE 158 (Section 02),43143,In Person,Kinetics and Reactor Design,,0,LAB,W,09:00AM-11:45AM,Kathy Tong,ENG333,08/21/23-12/06/23,10,,2023,Fall
CHE 160B (Section 01),43147,In Person,Unit Operations II,,4.0,SEM,MW,12:00PM-01:15PM,Katy Kao,ENG333,08/21/23-12/06/23,30,,2023,Fall
CHE 160B (Section 02),43148,In Person,Unit Operations II,,0,LAB,R,09:00AM-11:45AM,Shengpeng Zhuo,ENG333,08/21/23-12/06/23,7,,2023,Fall
CHE 161 (Section 80),43567,Fully Online,Process Safety and Engineering Ethics,,1.0,SEM,M,01:30PM-02:20PM,Xhavin Sinha,ONLINE,08/21/23-12/06/23,41,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHE 161L (Section 01),43144,In Person,Undergraduate Chemical Engineering Laboratory,,2.0,LEC,M,01:30PM-02:20PM,Gautam Kumar,ENG333,08/21/23-12/06/23,32,,2023,Fall
CHE 161L (Section 03),43146,In Person,Undergraduate Chemical Engineering Laboratory,,0,LAB,T,01:30PM-04:15PM,Aasim Sadath Mohammed,ENG205,08/21/23-12/06/23,6,,2023,Fall
CHE 161L (Section 04),43266,In Person,Undergraduate Chemical Engineering Laboratory,,0,LAB,R,01:30PM-04:15PM,Gautam Kumar / Aasim Sadath Mohammed,ENG205,08/21/23-12/06/23,4,,2023,Fall
CHE 162 (Section 01),49065,In Person,Engineering Statistics and Analysis,,2.0,LEC,W,04:30PM-05:20PM,Supreeta Amin,CL226,08/21/23-12/06/23,22,,2023,Fall
