Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
SOCI 199H (Section 33),40940,Fully Online,Senior Honors Project,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
RH - Honors course. Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 11),48006,Fully Online,Internship in Sociology,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 12),40655,Fully Online,Internship in Sociology,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 21),40524,Fully Online,Internship in Sociology,,2.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 31),40470,Fully Online,Internship in Sociology,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 32),40595,Fully Online,Internship in Sociology,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 33),40941,Fully Online,Internship in Sociology,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 34),40942,Fully Online,Internship in Sociology,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 281 (Section 35),43130,Fully Online,Internship in Sociology,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,1,,2023,Fall
SOCI 281 (Section 61),43099,Fully Online,Internship in Sociology,,6.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,1,,2023,Fall
SOCI 298 (Section 31),48019,Fully Online,Special Study,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,25,,2023,Fall
SOCI 298 (Section 32),40469,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,2,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 298 (Section 33),40656,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 298 (Section 34),40659,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 298 (Section 35),40660,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
SOCI 80 (Section 01),47642,In Person,Social Problems,GE: D,3.0,LEC,MW,10:30AM-11:45AM,Mark Pasion,DMH358,08/21/23-12/06/23,1,,2023,Fall
SOCI 80 (Section 02),47643,In Person,Social Problems,GE: D,3.0,LEC,TR,10:30AM-11:45AM,Mark Pasion,DMH358,08/21/23-12/06/23,0,,2023,Fall
SOCS 137 (Section 01),45639,Hybrid,California History for Teachers,,3.0,LEC,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Wendy Rouse,DMH354,,,,,,,,,,,,2023,Fall
SOCS 138 (Section 01),45300,In Person,US History for Teachers,GE: S,3.0,LEC,M,06:00PM-08:45PM,Bonnie Belshe,DMH166,08/21/23-12/06/23,1,,2023,Fall
SOCS 138 (Section 02),45640,In Person,US History for Teachers,GE: S,3.0,LEC,T,06:00PM-08:45PM,Bonnie Belshe,DMH165,08/21/23-12/06/23,1,,2023,Fall
SOCS 139 (Section 01),45308,In Person,World History for Teachers,GE: V,3.0,LEC,T,06:00PM-08:45PM,Jane Narveson,DMH163,08/21/23-12/06/23,0,,2023,Fall
SOCS 139 (Section 02),47649,In Person,World History for Teachers,GE: V,3.0,LEC,R,06:00PM-08:45PM,Jane Narveson,DMH163,08/21/23-12/06/23,1,,2023,Fall
SOCS 15 (Section 01),49636,In Person,Statistical Applications in the Social Sciences,GE: B4,3.0,LEC,M,06:00PM-08:45PM,Jose Bautista,DMH231,08/21/23-12/06/23,23,PV - Prerequisite courses required. See course description.,2023,Fall
SOCS 177 (Section 01),49639,In Person,Sociology of Education,,3.0,LEC,TR,09:00AM-10:15AM,Yolanda Wiggins,DMH226A,08/21/23-12/06/23,32,PB - Prereq - Upper division standing.,2023,Fall
SOCS 195 (Section 80),45304,Fully Online,Social Science Teacher Preparation,,3.0,SEM,TBA,TBA,Wendy Rouse,ONLINE,08/21/23-12/06/23,16,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 101A (Section 80),40159,Fully Online,Advanced Spanish,,4.0,SEM,TBA,TBA,Teresa Estrabao,ONLINE,08/21/23-12/06/23,9,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 101B (Section 80),41589,Fully Online,Advanced Spanish,,4.0,SEM,TBA,TBA,Teresa Estrabao,ONLINE,08/21/23-12/06/23,13,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 102B (Section 01),40261,In Person,Hispanic American Culture,GE: V,3.0,SEM,MW,09:00AM-10:15AM,Teresa Estrabao,CL306,08/21/23-12/06/23,17,,2023,Fall
SPAN 102B (Section 03),42751,In Person,Hispanic American Culture,GE: V,3.0,SEM,MW,12:00PM-01:15PM,Francisco De La Calle,SH238,08/21/23-12/06/23,10,,2023,Fall
SPAN 110 (Section 80),49012,Fully Online,Spanish Morphology and Syntax,,4.0,LEC,MW,03:00PM-04:40PM,Sandra Kornuc,ONLINE,08/21/23-12/06/23,19,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 115 (Section 01),49902,In Person,Introduction to Literary Studies in Spanish,,4.0,LEC,MW,04:30PM-06:10PM,Cheyla Samuelson,CL324,08/21/23-12/06/23,20,,2023,Fall
SPAN 132 (Section 80),51000,Fully Online,Special Topics in Spanish for Careers,,4.0,LEC,TBA,TBA,Angel Ruiz Blanco,ONLINE,08/21/23-12/06/23,11,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 140A (Section 01),49294,In Person,Spanish American Literature,,4.0,LEC,MW,01:30PM-03:10PM,Cheyla Samuelson,SH315,08/21/23-12/06/23,20,,2023,Fall
SPAN 1A (Section 01),45342,In Person,Elementary Spanish,GE: C2,4.0,LEC,MW,08:30AM-10:10AM,José García Buenrostro,BBC203,08/21/23-12/06/23,0,,2023,Fall
SPAN 1A (Section 02),45344,In Person,Elementary Spanish,GE: C2,4.0,LEC,MW,03:00PM-04:40PM,José García Buenrostro,SH240,08/21/23-12/06/23,1,,2023,Fall
SPAN 1A (Section 80),45353,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,MW,03:00PM-04:40PM,Eleanor Marsh,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 1A (Section 81),48942,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,TR,03:00PM-04:40PM,Eleanor Marsh,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 1A (Section 82),50103,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,TR,08:30AM-10:10AM,Raquel Rodriguez,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 1A (Section 83),50104,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,TR,01:30PM-03:10PM,Teresa Estrabao,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 1B (Section 01),45355,In Person,Elementary Spanish,GE: C2,4.0,LEC,MW,03:00PM-04:40PM,Raquel Rodriguez,CL216,08/21/23-12/06/23,10,,2023,Fall
SPAN 1B (Section 80),48694,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,TBA,TBA,Alejandra Campos,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 1B (Section 81),45358,Fully Online,Elementary Spanish,GE: C2,4.0,LEC,TR,08:30AM-10:10AM,Eleanor Marsh,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 20A (Section 01),49903,In Person,Spanish for Heritage Speakers I,GE: C2,4.0,LEC,MW,12:00PM-01:40PM,Raquel Rodriguez,HGH122,08/21/23-12/06/23,6,,2023,Fall
SPAN 225 (Section 01),48709,Hybrid,Spanish Dialectology,,4.0,SEM,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Angel Ruiz Blanco / Angel Ruiz Blanco,BBC120,,,,,,,,,,,,2023,Fall
SPAN 25A (Section 01),42750,In Person,Intermediate Spanish,GE: C2,4.0,LEC,TR,08:30AM-10:10AM,Alejandra Campos,BBC120,08/21/23-12/06/23,12,,2023,Fall
SPAN 25B (Section 01),48695,In Person,Intermediate Spanish,GE: C2,4.0,LEC,TR,10:30AM-12:10PM,Alejandra Campos,BBC120,08/21/23-12/06/23,21,,2023,Fall
SPAN 298 (Section 01),41499,Fully Online,Special Study,,1.0,SUP,TBA,TBA,Cheyla Samuelson,ONLINE,08/21/23-12/06/23,10,,2023,Fall
SPAN 3 (Section 80),44000,Fully Online,Special Topics in Practical Spanish,,4.0,LEC,TBA,TBA,Francisco De La Calle,ONLINE,08/21/23-12/06/23,14,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 4A (Section 80),42218,Fully Online,Basic Spanish I,,4.0,LEC,TBA,TBA,Aurelio Dias Ferreira,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SPAN 4B (Section 80),42219,Fully Online,Basic Spanish II,,4.0,LEC,TBA,TBA,Aurelio Dias Ferreira,ONLINE,08/21/23-12/06/23,12,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
SSED 184Y (Section 01),49905,In Person,Student Teaching II - Classroom Teaching,,4.0,SUP,R,04:30PM-06:30PM,Wendy Thowdis,DMH354,08/21/23-12/06/23,26,RO - Not available to Open University students.,2023,Fall
SSED 184Z (Section 80),49906,Fully Online,Student Teaching III - Classroom Teaching,,4.0,SUP,TBA,TBA,Wendy Thowdis / Ralph Mckay,ONLINE,08/21/23-12/06/23,24,,2023,Fall
SSED 378 (Section 01),45307,In Person,Social Science Methods,,3.0,SEM,T,04:30PM-07:15PM,Wendy Thowdis,DMH355,08/21/23-12/06/23,4,,2023,Fall
