Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
MUSC 133A (Section 04),43369,In Person,Voice 5,,2.0,SUP,TBA,TBA,Jacque Scharlach,,08/21/23-12/06/23,0,,2023,Fall
MUSC 133A (Section 06),44538,In Person,Voice 5,,2.0,SUP,TBA,TBA,Jonathan Smucker,,08/21/23-12/06/23,0,RO - Not available to Open University students.,2023,Fall
MUSC 133B (Section 01),43370,In Person,Voice 6,,2.0,SUP,TBA,TBA,Christopher Bengochea,,08/21/23-12/06/23,1,,2023,Fall
MUSC 133B (Section 02),43371,In Person,Voice 6,,2.0,SUP,TBA,TBA,Jacque Scharlach,,08/21/23-12/06/23,2,,2023,Fall
MUSC 133C (Section 06),44539,In Person,Voice 7,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,3,RO - Not available to Open University students.,2023,Fall
MUSC 135 (Section 02),47074,In Person,Woodwinds,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,3,RO - Not available to Open University students.,2023,Fall
MUSC 135A (Section 04),43379,In Person,Woodwinds 5,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,3,,2023,Fall
MUSC 136C (Section 01),43387,In Person,Brass 6,,2.0,SUP,TBA,TBA,Forrest Byram,,08/21/23-12/06/23,3,,2023,Fall
MUSC 136C (Section 02),43388,In Person,Brass 6,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,3,,2023,Fall
MUSC 139A (Section 05),47073,In Person,Jazz Studies 5,,2.0,SUP,TBA,TBA,Daniel Robbins,,08/21/23-12/06/23,3,RO - Not available to Open University students.,2023,Fall
MUSC 143 (Section 01),43176,In Person,REP: Collaborative Keyboard Performance,,1.0,ACT,F,10:00AM-11:50AM,Simona Snitkovskaya,MUS161,08/21/23-12/06/23,9,,2023,Fall
MUSC 144 (Section 01),40133,In Person,"REP: Solo Lit., Performance, Pedagogy",,1.0,ACT,F,10:00AM-11:50AM,Michael Mohammed,MUS211,08/21/23-12/06/23,4,,2023,Fall
MUSC 147A (Section 01),40263,In Person,Beginning Conducting,,2.0,SEM,TR,10:30AM-11:00AM,Kaitlin Bove,MUS150,08/21/23-12/06/23,4,,2023,Fall
MUSC 147A (Section 02),40264,In Person,Beginning Conducting,,2.0,ACT,TR,11:00AM-11:50AM,Kaitlin Bove,MUS150,08/21/23-12/06/23,4,,2023,Fall
MUSC 147A (Section 03),40948,In Person,Beginning Conducting,,2.0,SEM,TR,10:30AM-11:00AM,Jeffrey Benson,MUS182,08/21/23-12/06/23,3,,2023,Fall
MUSC 147A (Section 04),40949,In Person,Beginning Conducting,,2.0,ACT,TR,11:00AM-11:50AM,Jeffrey Benson,MUS182,08/21/23-12/06/23,3,,2023,Fall
MUSC 150A (Section 01),40871,In Person,ENS: Concert Choir,,1.0,ACT,MW,12:00PM-01:50PM,Corie Brown,MUS150,08/21/23-12/06/23,7,RA - Requires consent of instructor.,2023,Fall
MUSC 151 (Section 03),44430,In Person,ENS: University Chorales,,1.0,ACT,MW,02:00PM-02:50PM,Jeffrey Benson,MUS182,08/21/23-12/06/23,16,,2023,Fall
MUSC 151 (Section 04),44490,In Person,ENS: University Chorales,,1.0,ACT,TR,03:30PM-04:20PM,Corie Brown,MUS150,08/21/23-12/06/23,13,,2023,Fall
