Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
HIST 111 (Section 80),49677,Fully Online,Special Topics in Jewish Studies,,3.0,LEC,MW,12:00PM-01:15PM,Rokhl Kafrissen,ONLINE,08/21/23-12/06/23,23,Course Topic: Yiddish History and Culture FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
HIST 124 (Section 80),47553,Fully Online,Early Modern Europe,,4.0,LEC,TBA,,,,,,,2023,Fall
TBA,TBA,,,,,,,,,,,,,2023,Fall
TBA,Katharine Olson,ONLINE,,,,,,,,,,,,2023,Fall
HIST 126 (Section 01),45919,In Person,Advanced Topics in Medieval History,,4.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Katharine Olson,DMH163,,,,,,,,,,,,2023,Fall
HIST 132 (Section 01),44072,In Person,Advanced Topics in World History,,4.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Jonathan Roth,DMH167,,,,,,,,,,,,2023,Fall
HIST 144 (Section 01),47630,In Person,"Europe, 1900-1945",,4.0,LEC,MW,,,,,,,2023,Fall
TBA,MW,,,,,,,,,,,,,2023,Fall
TBA,Allison Katsev,DMH163,,,,,,,,,,,,2023,Fall
HIST 146 (Section 01),47631,In Person,Advanced Topics in European History,,4.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Xiaojia Hou,DMH167,,,,,,,,,,,,2023,Fall
HIST 15 (Section 01),44062,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,03:00PM-04:15PM,Robert Cirivilleri,WSQ109,08/21/23-12/06/23,1,,2023,Fall
HIST 15 (Section 02),44063,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,MW,10:30AM-11:45AM,Raymand Buyco,WSQ207,08/21/23-12/06/23,0,,2023,Fall
HIST 15 (Section 03),46298,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,07:30AM-08:45AM,Robert Cirivilleri,DMH150,08/21/23-12/06/23,4,,2023,Fall
HIST 15 (Section 04),44066,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,09:00AM-10:15AM,Robert Cirivilleri,DMH150,08/21/23-12/06/23,2,,2023,Fall
HIST 15 (Section 05),44337,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,10:30AM-11:45AM,Robert Cirivilleri,DMH150,08/21/23-12/06/23,1,,2023,Fall
HIST 15 (Section 06),45499,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,12:00PM-01:15PM,Ari Cushner,DMH150,08/21/23-12/06/23,0,,2023,Fall
HIST 15 (Section 07),44064,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,TR,01:30PM-02:45PM,Ari Cushner,DMH150,08/21/23-12/06/23,0,,2023,Fall
HIST 15 (Section 08),44065,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,MW,12:00PM-01:15PM,Raymand Buyco,DMH150,08/21/23-12/06/23,1,,2023,Fall
HIST 15 (Section 09),44280,In Person,Essentials of U.S. History,GE: D+US1,3.0,LEC,MW,01:30PM-02:45PM,Caitlin Jeffrey,DMH150,08/21/23-12/06/23,0,,2023,Fall
