Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
CS 146 (Section 09),28613,In Person,Data Structures and Algorithms,,3.0,LEC,TR,04:30PM-05:45PM,Chinmay Nilesh Mahagaonkar,DH450,01/24/24-05/13/24,1,2024,Spring
CS 146 (Section 11),30466,In Person,Data Structures and Algorithms,,3.0,LEC,TR,06:00PM-07:15PM,Vidya Rangasayee,MH422,01/24/24-05/13/24,4,2024,Spring
CS 147 (Section 01),28923,In Person,Computer Architecture,,3.0,SEM,TR,04:30PM-05:45PM,Chung-Wen Tsao,SCI311,01/24/24-05/13/24,16,2024,Spring
CS 147 (Section 02),28614,In Person,Computer Architecture,,3.0,SEM,TR,01:30PM-02:45PM,Chung-Wen Tsao,SCI311,01/24/24-05/13/24,7,2024,Spring
CS 149 (Section 01),26966,In Person,Operating Systems,,3.0,SEM,MW,07:30AM-08:45AM,Faramarz Mortezaie,SH435,01/24/24-05/13/24,0,2024,Spring
CS 149 (Section 02),28615,In Person,Operating Systems,,3.0,SEM,MW,04:30PM-05:45PM,Frank Butt,ISB784,01/24/24-05/13/24,8,2024,Spring
CS 149 (Section 03),22077,In Person,Operating Systems,,3.0,SEM,MW,12:00PM-01:15PM,William Andreopoulos,BBC204,01/24/24-05/13/24,1,2024,Spring
CS 151 (Section 02),21616,In Person,Object-Oriented Design,,3.0,SEM,MW,10:30AM-11:45AM,Jon Pearce,ISB782,01/24/24-05/13/24,6,2024,Spring
CS 151 (Section 03),21617,In Person,Object-Oriented Design,,3.0,SEM,MW,12:00PM-01:15PM,Jon Pearce,ISB782,01/24/24-05/13/24,10,2024,Spring
CS 151 (Section 04),22351,In Person,Object-Oriented Design,,3.0,SEM,MW,03:00PM-04:15PM,Jon Pearce,MH223,01/24/24-05/13/24,1,2024,Spring
CS 151 (Section 05),25066,In Person,Object-Oriented Design,,3.0,SEM,TR,01:30PM-02:45PM,Nidhi Zare,ISB878,01/24/24-05/13/24,5,2024,Spring
CS 151 (Section 06),26584,In Person,Object-Oriented Design,,3.0,SEM,MW,03:00PM-04:15PM,Ahmad Yazdankhah,ISB782,01/24/24-05/13/24,3,2024,Spring
CS 151 (Section 07),26968,In Person,Object-Oriented Design,,3.0,SEM,MW,04:30PM-05:45PM,Ahmad Yazdankhah,ISB782,01/24/24-05/13/24,2,2024,Spring
CS 152 (Section 01),28592,In Person,Programming Paradigms,,3.0,LEC,TR,03:00PM-04:15PM,Saptarshi Sengupta,ISB878,01/24/24-05/13/24,9,2024,Spring
CS 152 (Section 02),28593,In Person,Programming Paradigms,,3.0,LEC,TR,04:30PM-05:45PM,Saptarshi Sengupta,ISB878,01/24/24-05/13/24,8,2024,Spring
CS 152 (Section 03),28594,In Person,Programming Paradigms,,3.0,LEC,TR,09:00AM-10:15AM,Prayuj Pillai,ISB876,01/24/24-05/13/24,8,2024,Spring
CS 152 (Section 04),28595,In Person,Programming Paradigms,,3.0,LEC,TR,12:00PM-01:15PM,Rula Khayrallah,ISB878,01/24/24-05/13/24,9,2024,Spring
CS 154 (Section 01),28596,In Person,Formal Languages and Computability,,3.0,SEM,TR,10:30AM-11:45AM,Yan Chen,ISB784,01/24/24-05/13/24,6,2024,Spring
CS 154 (Section 02),28597,In Person,Formal Languages and Computability,,3.0,SEM,TR,12:00PM-01:15PM,Yan Chen,ISB784,01/24/24-05/13/24,7,2024,Spring
CS 154 (Section 80),28636,Fully Online,Formal Languages and Computability,,3.0,SEM,TR,04:30PM-05:45PM,Ahmad Yazdankhah,ONLINE,01/24/24-05/13/24,1,2024,Spring
CS 154 (Section 81),28637,Fully Online,Formal Languages and Computability,,3.0,SEM,TR,06:00PM-07:15PM,Ahmad Yazdankhah,ONLINE,01/24/24-05/13/24,2,2024,Spring
CS 157A (Section 01),22471,In Person,Introduction to Database Management Systems,,3.0,SEM,TR,06:00PM-07:15PM,Ramin Moazeni,SH100,01/24/24-05/13/24,5,2024,Spring
CS 157A (Section 02),26635,In Person,Introduction to Database Management Systems,,3.0,SEM,TR,10:30AM-11:45AM,Sanket Kulkarni,SH435,01/24/24-05/13/24,1,2024,Spring
CS 157A (Section 03),30297,In Person,Introduction to Database Management Systems,,3.0,SEM,MW,01:30PM-02:45PM,Aravind Rokkam,SCI311,01/24/24-05/13/24,3,2024,Spring
CS 160 (Section 01),28639,In Person,Software Engineering,,3.0,SEM,MW,06:00PM-07:15PM,Frank Butt,MH422,01/24/24-05/13/24,14,2024,Spring
CS 160 (Section 02),30220,In Person,Software Engineering,,3.0,SEM,TR,06:00PM-07:15PM,Brian Tsao,MH225,01/24/24-05/13/24,11,2024,Spring
CS 160 (Section 03),30249,In Person,Software Engineering,,3.0,SEM,MW,06:00PM-07:15PM,Katherine Soohoo,SCI311,01/24/24-05/13/24,0,2024,Spring
CS 166 (Section 01),22110,In Person,Information Security,,3.0,LEC,MW,03:00PM-04:15PM,Chao-Li Tarng,BBC004,01/24/24-05/13/24,0,2024,Spring
CS 166 (Section 02),23317,In Person,Information Security,,3.0,LEC,TR,12:00PM-01:15PM,Mark Stamp,BBC202,01/24/24-05/13/24,8,2024,Spring
EE 30 (Section 01),20910,In Person,Introduction to Programming Micro-Controllers for Electrical Engineering,,3.0,LEC,MW,12:00PM-12:50PM,Chao-Li Tarng,ENG345,01/24/24-05/13/24,0,2024,Spring
EE 30 (Section 02),26711,In Person,Introduction to Programming Micro-Controllers for Electrical Engineering,,0,LAB,M,06:00PM-08:45PM,Bhawandeep Singh Harsh,ENG307,01/24/24-05/13/24,0,2024,Spring
EE 30 (Section 03),24205,In Person,Introduction to Programming Micro-Controllers for Electrical Engineering,,0,LAB,T,06:00PM-08:45PM,Bhawandeep Singh Harsh,ENG307,01/24/24-05/13/24,3,2024,Spring
EE 97 (Section 01),20464,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,M,01:30PM-04:15PM,K Ghadiri,ENG249,01/24/24-05/13/24,1,2024,Spring
EE 97 (Section 02),20465,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,T,01:30PM-04:15PM,K Ghadiri,ENG249,01/24/24-05/13/24,1,2024,Spring
EE 97 (Section 03),22616,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,W,01:30PM-04:15PM,K Ghadiri,ENG249,01/24/24-05/13/24,1,2024,Spring
EE 97 (Section 04),21147,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,R,01:30PM-04:15PM,K Ghadiri,ENG249,01/24/24-05/13/24,0,2024,Spring
EE 97 (Section 05),30241,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,F,09:30AM-12:15PM,K Ghadiri,ENG249,01/24/24-05/13/24,0,2024,Spring
EE 97 (Section 06),30355,In Person,Introductory Electrical Engineering Laboratory,,1.0,LAB,F,01:00PM-03:45PM,K Ghadiri,ENG249,01/24/24-05/13/24,8,2024,Spring
EE 98 (Section 01),20187,In Person,Introduction to Circuit Analysis,,3.0,SEM,MW,10:30AM-11:45AM,Nader Mir,ENG345,01/24/24-05/13/24,1,2024,Spring
EE 98 (Section 02),21166,In Person,Introduction to Circuit Analysis,,3.0,SEM,TR,10:30AM-11:45AM,Jalel Rejeb,ENG327,01/24/24-05/13/24,1,2024,Spring
EE 98 (Section 03),22353,In Person,Introduction to Circuit Analysis,,3.0,SEM,MW,12:00PM-01:15PM,Nader Mir,ENG303,01/24/24-05/13/24,1,2024,Spring
