Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),22967,In Person,The Living World,GE: B2,3,LEC,TR,01:30PM-02:45PM,Allison Harness,DH135,01/25/23-05/15/23,19,2023,Spring
BIOL 10 (Section 81),27308,Fully Online,The Living World,GE: B2,3,LEC,TBA,TBA,Allison Harness,ONLINE,01/25/23-05/15/23,5,2023,Spring
BIOL 10 (Section 82),27309,Fully Online,The Living World,GE: B2,3,LEC,TBA,TBA,Allison Harness,ONLINE,01/25/23-05/15/23,14,2023,Spring
BIOL 10 (Section 99),21843,Fully Online,The Living World,GE: B2,3,LEC,TBA,TBA,Mary Poffenroth,ONLINE,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 02),20616,In Person,General Chemistry,GE: B1+B3,5,LEC,MWF,10:30AM-11:20AM,Melody Esfandiari,MD101,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 03),23403,In Person,General Chemistry,GE: B1+B3,5,LEC,MWF,01:30PM-02:20PM,John Diniz,SCI142,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 04),21045,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,01/25/23-05/15/23,40,2023,Spring
CHEM 1A (Section 05),21074,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Niloofar Salehi,SCI142,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 06),21379,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Niloofar Salehi,SCI164,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 07),20101,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,Roger Terrill,SCI164,01/25/23-05/15/23,3,2023,Spring
CHEM 1A (Section 08),21644,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,SCI164,01/25/23-05/15/23,1,2023,Spring
CHEM 1A (Section 10),20102,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Laura Mugica,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 11),20552,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Tyeshia Sapp,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 12),20103,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 13),20685,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,David Santiago,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 14),20104,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 15),20105,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,David Santiago,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 16),20106,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Irina Slobodov,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 20),20109,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 21),20632,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,Irina Slobodov,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 22),20633,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Minh Hoang Huynh,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 23),22197,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Laura Mugica,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 24),20686,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Yujin Hur,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 25),20637,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Brenda Serrano / Karen Singmaster,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 26),20639,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Niloofar Salehi,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 27),20897,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Victor Maraschin,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 28),25071,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Irina Slobodov,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 30),22804,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,Irina Slobodov,DH412,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 31),25095,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,John Diniz,DH506,01/25/23-05/15/23,0,2023,Spring
CHEM 1A (Section 32),30804,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Minh Hoang Huynh,DH506,01/25/23-05/15/23,0,2023,Spring
CMPE 30 (Section 01),21985,In Person,Programming Concepts and Methodology,,3,LEC,MW,08:00AM-08:50AM,Faramarz Mortezaie,ENG329,01/25/23-05/15/23,0,2023,Spring
CMPE 30 (Section 02),21986,In Person,Programming Concepts and Methodology,,3,LAB,R,05:45PM-08:35PM,Suharsh Cherukunnon Arippa,ENG405,01/25/23-05/15/23,0,2023,Spring
CMPE 30 (Section 03),21987,In Person,Programming Concepts and Methodology,,3,LAB,T,05:45PM-08:35PM,Suharsh Cherukunnon Arippa,ENG405,01/25/23-05/15/23,0,2023,Spring
CMPE 30 (Section 06),30589,In Person,Programming Concepts and Methodology,,3,LEC,TR,09:00AM-09:50AM,Loc Lam,BBC004,01/25/23-05/15/23,0,2023,Spring
CMPE 30 (Section 07),30590,In Person,Programming Concepts and Methodology,,3,LAB,T,10:00AM-12:50PM,Supriya Bhupathiraju,ENG489,01/25/23-05/15/23,0,2023,Spring
CMPE 50 (Section 01),20706,In Person,Object-Oriented Concepts and Methodology,,3,LEC,TR,04:30PM-05:20PM,Chao-Li Tarng,ENG337,01/25/23-05/15/23,0,2023,Spring
CMPE 50 (Section 02),20707,In Person,Object-Oriented Concepts and Methodology,,3,LAB,T,01:30PM-04:20PM,Shreyas Kulkarni,ENG489,01/25/23-05/15/23,1,2023,Spring
CMPE 50 (Section 03),20708,In Person,Object-Oriented Concepts and Methodology,,3,LAB,R,01:30PM-04:20PM,Shreyas Kulkarni,ENG489,01/25/23-05/15/23,0,2023,Spring
CMPE 102 (Section 02),23396,In Person,Assembly Language Programming,,3,SEM,T,06:00PM-08:45PM,Charan Bhaskar,CL310,01/25/23-05/15/23,0,2023,Spring
CMPE 102 (Section 03),26623,In Person,Assembly Language Programming,,3,SEM,MW,10:30AM-11:45AM,Faramarz Mortezaie,ENG325,01/25/23-05/15/23,0,2023,Spring
CMPE 102 (Section 04),30527,In Person,Assembly Language Programming,,3,SEM,TR,10:30AM-11:45AM,Loc Lam,BBC004,01/25/23-05/15/23,0,2023,Spring
CMPE 110 (Section 01),22373,In Person,Electronics for Computing Systems,,3,LEC,MW,12:00PM-12:50PM,Ahmet Bindal,ENG337,01/25/23-05/15/23,0,2023,Spring
CMPE 110 (Section 02),22374,In Person,Electronics for Computing Systems,,3,LAB,T,01:30PM-04:20PM,Ahmet Bindal,ENG286,01/25/23-05/15/23,0,2023,Spring
CMPE 110 (Section 03),22375,In Person,Electronics for Computing Systems,,3,LAB,T,04:30PM-07:20PM,Ahmet Bindal,ENG286,01/25/23-05/15/23,0,2023,Spring
CMPE 110 (Section 04),30820,In Person,Electronics for Computing Systems,,3,LAB,M,05:30PM-08:20PM,Karthik Bharadwaj Kunigal Raveendra,ENG286,01/25/23-05/15/23,17,2023,Spring
CMPE 120 (Section 01),23030,In Person,Computer Organization and Architecture,,3,SEM,MW,01:30PM-02:45PM,Bhargavibahen Trivedi,ENG337,01/25/23-05/15/23,7,2023,Spring
CMPE 120 (Section 03),30528,In Person,Computer Organization and Architecture,,3,SEM,TR,04:30PM-05:45PM,Preetpal Kang,BBC102,01/25/23-05/15/23,20,2023,Spring
CMPE 124 (Section 01),22376,In Person,Digital Design I,,3,SEM,MW,08:00AM-08:50AM,Haluk Ozemek,ENG325,01/25/23-05/15/23,32,2023,Spring
CMPE 124 (Section 06),22383,In Person,Digital Design I,,3,LAB,W,02:30PM-05:20PM,Ahmet Bindal,ENG286,01/25/23-05/15/23,0,2023,Spring
CMPE 125 (Section 01),29368,In Person,Digital Design II,,3,SEM,MW,03:00PM-03:50PM,Jahan Ghofraniha,DMH234,01/25/23-05/15/23,1,2023,Spring
CMPE 125 (Section 02),29369,In Person,Digital Design II,,3,LAB,M,12:00PM-02:50PM,Saicharan Reddy Kadari,ENG288,01/25/23-05/15/23,1,2023,Spring
CMPE 125 (Section 03),29370,In Person,Digital Design II,,3,LAB,M,04:30PM-07:20PM,Saicharan Reddy Kadari,ENG288,01/25/23-05/15/23,0,2023,Spring
CMPE 125 (Section 04),30630,In Person,Digital Design II,,3,SEM,MW,04:30PM-05:20PM,Jahan Ghofraniha,ENG325,01/25/23-05/15/23,15,2023,Spring
CMPE 125 (Section 05),30631,In Person,Digital Design II,,3,LAB,W,12:00PM-02:50PM,Saicharan Reddy Kadari,ENG288,01/25/23-05/15/23,15,2023,Spring
CMPE 126 (Section 01),22386,In Person,Algorithms and Data Structure Design,,3,LEC,TR,09:00AM-09:50AM,Faramarz Mortezaie,ENG329,01/25/23-05/15/23,2,2023,Spring
CMPE 126 (Section 02),22387,In Person,Algorithms and Data Structure Design,,3,LAB,T,02:30PM-05:20PM,Bhaummi Patel,ENG206,01/25/23-05/15/23,2,2023,Spring
CMPE 126 (Section 03),23236,In Person,Algorithms and Data Structure Design,,3,LAB,R,02:30PM-05:20PM,Bhaummi Patel,ENG206,01/25/23-05/15/23,0,2023,Spring
CMPE 127 (Section 01),22388,In Person,Microprocessor Design I,,3,SEM,MW,09:00AM-09:50AM,Haluk Ozemek,ENG329,01/25/23-05/15/23,0,2023,Spring
