Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
MATH 42X (Section 01),27588,In Person,Discrete Mathematics,,3.0,LEC,MW,10:30AM-11:45AM,Richard Low,MH320,01/24/24-05/13/24,1,2024,Spring
MATH 42X (Section 02),27589,In Person,Discrete Mathematics,,3.0,LEC,MW,12:00PM-01:15PM,Mohammad Saleem,MH323,01/24/24-05/13/24,0,2024,Spring
MATH 42X (Section 03),27590,In Person,Discrete Mathematics,,3.0,LEC,MW,01:30PM-02:45PM,Richard Low,MH320,01/24/24-05/13/24,1,2024,Spring
MATH 42X (Section 04),27591,In Person,Discrete Mathematics,,3.0,LEC,TR,12:00PM-01:15PM,Lining Wang,MH424,01/24/24-05/13/24,1,2024,Spring
MATH 42X (Section 05),27592,In Person,Discrete Mathematics,,3.0,LEC,TR,01:30PM-02:45PM,Wasin So,MH424,01/24/24-05/13/24,3,2024,Spring
MATH 42X (Section 06),27593,In Person,Discrete Mathematics,,3.0,LEC,TR,03:00PM-04:15PM,Lining Wang,MH424,01/24/24-05/13/24,1,2024,Spring
MATH 42X (Section 08),29713,In Person,Discrete Mathematics,,3.0,LEC,TR,10:30AM-11:45AM,Lining Wang,DH318,01/24/24-05/13/24,2,2024,Spring
PHIL 134 (Section 80),22586,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,01/24/24-05/13/24,3,2024,Spring
PHIL 134 (Section 81),20392,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,01/24/24-05/13/24,1,2024,Spring
PHIL 134 (Section 82),20393,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,01/24/24-05/13/24,4,2024,Spring
PHIL 134 (Section 83),20729,Fully Online,"Computers, Ethics and Society",GE: V,3.0,LEC,TBA,TBA,Elizabeth Sonnier,ONLINE,01/24/24-05/13/24,4,2024,Spring
PHYS 50 (Section 01),21072,In Person,General Physics I: Mechanics,GE: B1+B3,4.0,LEC,TR,10:30AM-11:45AM,Ranko Heindl,MD101,01/24/24-05/13/24,4,2024,Spring
PHYS 50 (Section 05),23778,In Person,General Physics I: Mechanics,GE: B1+B3,4.0,LEC,MW,03:00PM-04:15PM,Elaheh Sigari,SCI258,01/24/24-05/13/24,4,2024,Spring
PHYS 50 (Section 11),21074,In Person,General Physics I: Mechanics,,0,LAB,M,12:00PM-02:45PM,Elaheh Sigari,DH647,01/24/24-05/13/24,1,2024,Spring
PHYS 50 (Section 13),21076,In Person,General Physics I: Mechanics,,0,LAB,M,03:00PM-05:45PM,Xavier Mendoza,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 14),21077,In Person,General Physics I: Mechanics,,0,LAB,M,03:00PM-05:45PM,Alexi Musick,DH647,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 15),21078,In Person,General Physics I: Mechanics,,0,LAB,T,12:00PM-02:45PM,Nargis Adham,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 16),21079,In Person,General Physics I: Mechanics,,0,LAB,T,12:00PM-02:45PM,Curtis Asplund,DH647,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 17),21080,In Person,General Physics I: Mechanics,,0,LAB,T,03:00PM-05:45PM,Nargis Adham,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 18),21081,In Person,General Physics I: Mechanics,,0,LAB,T,03:00PM-05:45PM,Azadeh Shahid Faylienejad,DH647,01/24/24-05/13/24,1,2024,Spring
PHYS 50 (Section 19),21082,In Person,General Physics I: Mechanics,,0,LAB,W,09:00AM-11:45AM,Alexi Musick,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 20),21083,In Person,General Physics I: Mechanics,,0,LAB,W,09:00AM-11:45AM,Elaheh Sigari,DH647,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 21),21084,In Person,General Physics I: Mechanics,,0,LAB,W,12:00PM-02:45PM,Zairac Smith,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 24),22864,In Person,General Physics I: Mechanics,,0,LAB,W,03:00PM-05:45PM,Vakini Santhanakrishnan,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 25),22639,In Person,General Physics I: Mechanics,,0,LAB,R,12:00PM-02:45PM,Daniel Olson,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 26),22208,In Person,General Physics I: Mechanics,,0,LAB,R,12:00PM-02:45PM,Nargis Adham,DH647,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 27),21087,In Person,General Physics I: Mechanics,,0,LAB,R,03:00PM-05:45PM,Vakini Santhanakrishnan,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 28),22640,In Person,General Physics I: Mechanics,,0,LAB,R,03:00PM-05:45PM,Nargis Adham,DH647,01/24/24-05/13/24,1,2024,Spring
PHYS 50 (Section 29),23814,In Person,General Physics I: Mechanics,,0,LAB,F,09:00AM-11:45AM,Zak Espley,DH645,01/24/24-05/13/24,1,2024,Spring
PHYS 50 (Section 30),26730,In Person,General Physics I: Mechanics,,0,LAB,F,09:00AM-11:45AM,Xavier Mendoza,DH647,01/24/24-05/13/24,1,2024,Spring
PHYS 50 (Section 31),27741,In Person,General Physics I: Mechanics,,0,LAB,F,12:00PM-02:45PM,Zak Espley,DH645,01/24/24-05/13/24,0,2024,Spring
PHYS 50 (Section 32),30488,In Person,General Physics I: Mechanics,,0,LAB,W,03:00PM-05:45PM,Daniel Olson,DH647,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 01),21088,In Person,General Physics II: Electricity and Magnetism,GE: B1+B3,4.0,LEC,MW,12:00PM-01:15PM,Olenka Hubickyj,SCI142,01/24/24-05/13/24,80,2024,Spring
PHYS 51 (Section 05),21092,In Person,General Physics II: Electricity and Magnetism,GE: B1+B3,4.0,LEC,MW,01:30PM-02:45PM,Hilary Hurst,SCI164,01/24/24-05/13/24,1,2024,Spring
PHYS 51 (Section 11),21093,In Person,General Physics II: Electricity and Magnetism,,0,LAB,M,09:00AM-11:45AM,Nargis Adham,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 13),21095,In Person,General Physics II: Electricity and Magnetism,,0,LAB,M,03:00PM-05:45PM,Austin Karwowski,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 14),21096,In Person,General Physics II: Electricity and Magnetism,,0,LAB,M,03:00PM-05:45PM,Logan Miller,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 15),21097,In Person,General Physics II: Electricity and Magnetism,,0,LAB,T,09:00AM-11:45AM,Eugene Ionel,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 16),27777,In Person,General Physics II: Electricity and Magnetism,,0,LAB,T,12:00PM-02:45PM,Ignacio Mosqueira,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 18),21099,In Person,General Physics II: Electricity and Magnetism,,0,LAB,T,03:00PM-05:45PM,Ignacio Mosqueira,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 19),21100,In Person,General Physics II: Electricity and Magnetism,,0,LAB,W,09:00AM-11:45AM,Logan O'Brien,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 22),22211,In Person,General Physics II: Electricity and Magnetism,,0,LAB,W,03:00PM-05:45PM,Logan Miller,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 23),21102,In Person,General Physics II: Electricity and Magnetism,,0,LAB,W,03:00PM-05:45PM,Logan O'Brien,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 24),27779,In Person,General Physics II: Electricity and Magnetism,,0,LAB,R,09:00AM-11:45AM,Neil Switz,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 25),23818,In Person,General Physics II: Electricity and Magnetism,,0,LAB,R,12:00PM-02:45PM,Eugene Ionel,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 26),25232,In Person,General Physics II: Electricity and Magnetism,,0,LAB,R,12:00PM-02:45PM,Neil Switz,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 28),27835,In Person,General Physics II: Electricity and Magnetism,,0,LAB,F,12:00PM-02:45PM,Austin Karwowski,DH643,01/24/24-05/13/24,0,2024,Spring
PHYS 51 (Section 29),30489,In Person,General Physics II: Electricity and Magnetism,,0,LAB,T,12:00PM-02:45PM,Vakini Santhanakrishnan,DH641,01/24/24-05/13/24,0,2024,Spring
PHYS 52 (Section 01),20167,In Person,"General Physics III: Waves, Light, Heat",GE: B1+B3,4.0,LEC,TR,10:30AM-11:45AM,Ramen Bahuguna,SCI164,01/24/24-05/13/24,1,2024,Spring
PHYS 52 (Section 11),27783,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,M,12:00PM-02:45PM,Ramen Bahuguna,DH609,01/24/24-05/13/24,0,2024,Spring
PHYS 52 (Section 12),20168,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,M,03:00PM-05:45PM,Ramen Bahuguna,DH609,01/24/24-05/13/24,0,2024,Spring
PHYS 52 (Section 14),27784,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,T,12:00PM-02:45PM,Ramen Bahuguna,DH609,01/24/24-05/13/24,0,2024,Spring
PHYS 52 (Section 15),22784,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,W,12:00PM-02:45PM,Vakini Santhanakrishnan,DH609,01/24/24-05/13/24,0,2024,Spring
PHYS 52 (Section 17),23826,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,F,09:00AM-11:45AM,Paul Houck,DH609,01/24/24-05/13/24,1,2024,Spring
PHYS 52 (Section 18),23827,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,F,12:00PM-02:45PM,Paul Houck,DH609,01/24/24-05/13/24,0,2024,Spring
