Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
DANC 12 (Section 01),48494,In Person,Ensemble Dance Rehearsal and Performance,,2.0,ACT,MTWR,03:30PM-05:50PM,Chafin Seymour,SPXC216,08/21/23-12/06/23,11,,2023,Fall
DANC 144A (Section 01),49929,In Person,Dance History and Repertory,,3.0,SEM,MW,01:30PM-03:20PM,Ann Murphy,MUS211,08/21/23-12/06/23,16,,2023,Fall
DANC 144A (Section 02),49930,In Person,Dance History and Repertory,,3.0,LAB,TBA,TBA,Ann Murphy,,08/21/23-12/06/23,16,,2023,Fall
DANC 145B (Section 01),48566,In Person,Choreography II,,3.0,ACT,T,01:30PM-03:20PM,Jenni Hong,WSQ106,08/21/23-12/06/23,18,,2023,Fall
DANC 145B (Section 02),48567,In Person,Choreography II,,3.0,LEC,R,01:30PM-03:20PM,Jenni Hong,WSQ106,08/21/23-12/06/23,18,,2023,Fall
DANC 154A (Section 01),48620,In Person,Topics in Dance Technique III,PE: PhysEd,3.0,LAB,F,MW,TR,F,11:00AM-12:40PM,MW,09:00AM-10:40AM,TR,08:30AM-10:10AM,Philip Amo Agyapong / Raphael Boumaila,WSQ204,2023,Fall
DANC 154B (Section 01),48624,In Person,Topics in Dance Technique IV,PE: PhysEd,3.0,LAB,F,,,,,,,2023,Fall
TR,F,,,,,,,,,,,,,2023,Fall
DANC 194 (Section 01),48632,In Person,Dance Repertory Activity,,1.0,ACT,TBA,TBA,Maria Basile,,08/21/23-12/06/23,3,,2023,Fall
DANC 198 (Section 01),48634,In Person,Internship in Dance,,1.0,SUP,TBA,TBA,Chafin Seymour,,08/21/23-12/06/23,8,RO - Not available to Open University students.,2023,Fall
DANC 198 (Section 02),48635,In Person,Internship in Dance,,2.0,SUP,TBA,TBA,Chafin Seymour,,08/21/23-12/06/23,10,RO - Not available to Open University students.,2023,Fall
DANC 198 (Section 03),48636,In Person,Internship in Dance,,3.0,SUP,TBA,TBA,Chafin Seymour,,08/21/23-12/06/23,10,RO - Not available to Open University students.,2023,Fall
DANC 40A (Section 01),48513,In Person,Topics in Modern Dance I,PE: PhysEd,2.0,ACT,TR,01:30PM-02:50PM,Maria Basile / Maria Basile,WSQ201,08/21/23-12/06/23,14,,2023,Fall
DANC 40A (Section 02),48514,In Person,Topics in Modern Dance I,PE: PhysEd,2.0,ACT,MW,02:30PM-03:50PM,Maria Basile / Maria Basile,WSQ201,08/21/23-12/06/23,12,,2023,Fall
DANC 41A (Section 01),48525,In Person,Topics in Ballet I,PE: PhysEd,2.0,ACT,TR,12:10PM-01:20PM,Raphael Boumaila / Raphael Boumaila,WSQ204,08/21/23-12/06/23,12,,2023,Fall
DANC 41A (Section 02),48526,In Person,Topics in Ballet I,PE: PhysEd,2.0,ACT,MW,01:00PM-02:20PM,Maria Basile / Maria Basile,WSQ201,08/21/23-12/06/23,14,,2023,Fall
DANC 42A (Section 01),48540,In Person,Topics in Jazz Dance I,PE: PhysEd,2.0,ACT,TR,09:00AM-10:20AM,Keith Pinto / Keith Pinto,WSQ106,08/21/23-12/06/23,22,,2023,Fall
DANC 42A (Section 02),48541,In Person,Topics in Jazz Dance I,PE: PhysEd,2.0,ACT,TR,10:30AM-11:50AM,Keith Pinto / Keith Pinto,WSQ106,08/21/23-12/06/23,20,,2023,Fall
DANC 42A (Section 03),48542,In Person,Topics in Jazz Dance I,PE: PhysEd,2.0,ACT,TR,12:00PM-01:20PM,Keith Pinto / Keith Pinto,WSQ106,08/21/23-12/06/23,16,,2023,Fall
DANC 42A (Section 04),48543,In Person,Topics in Jazz Dance I,PE: PhysEd,2.0,ACT,MW,10:30AM-11:50AM,Francesca Cipponeri,WSQ106,08/21/23-12/06/23,18,,2023,Fall
DANC 43 (Section 02),49924,In Person,Dance Improvisation,,1.0,LAB,TR,10:45AM-11:35AM,Jenni Hong / Jenni Hong,WSQ201,08/21/23-12/06/23,20,,2023,Fall
DANC 45A (Section 01),49504,In Person,Beginning Lindy Hop and Night Club Swing,PE: PhysEd,1.0,ACT,MW,12:30PM-01:20PM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,34,,2023,Fall
DANC 46A (Section 01),49505,In Person,Beginning Social Dance,PE: PhysEd,1.0,ACT,MW,08:30AM-09:20AM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,29,,2023,Fall
DANC 46A (Section 02),49506,In Person,Beginning Social Dance,PE: PhysEd,1.0,ACT,MW,09:30AM-10:20AM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,25,,2023,Fall
DANC 46A (Section 03),49507,In Person,Beginning Social Dance,PE: PhysEd,1.0,ACT,TR,09:30AM-10:20AM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,27,,2023,Fall
DANC 48A (Section 01),49508,In Person,Beginning Latin Dance,PE: PhysEd,1.0,ACT,TR,11:30AM-12:20PM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,26,,2023,Fall
DANC 48A (Section 02),49509,In Person,Beginning Latin Dance,PE: PhysEd,1.0,ACT,TR,08:30AM-09:20AM,Bud Ayers Jr,SPXE178,08/21/23-12/06/23,32,,2023,Fall
DANC 49A (Section 01),48549,In Person,Topics in Tap Dance I,PE: PhysEd,1.0,LAB,MW,09:00AM-10:20AM,Francesca Cipponeri,WSQ106,08/21/23-12/06/23,21,,2023,Fall
DANC 51B (Section 02),50438,In Person,Topics in Dance Crewing,,0.5,ACT,TBA,TBA,Ann Murphy,,08/21/23-12/06/23,12,,2023,Fall
DANC 54 (Section 01),48555,In Person,Topics in Dance Technique II,PE: PhysEd,3.0,LAB,MWF,MW,09:00AM-10:40AM,09:00AM-10:20AM,F,09:00AM-10:40AM,Raphael Boumaila / Philip Amo Agyapong,WSQ204,WSQ201,WSQ204,08/21/23-12/06/23,24,2023,Fall
DANC 75 (Section 01),48559,In Person,Rhythm and Dynamics in Dance,,1.0,ACT,TR,01:30PM-02:20PM,Raphael Boumaila,WSQ204,08/21/23-12/06/23,19,,2023,Fall
DATA 220 (Section 11),46223,In Person,Mathematical Methods for Data Analytics,,3.0,LEC,R,06:00PM-08:45PM,Mohammad Masum,BBC104,08/21/23-12/06/23,8,RC - Requires department release of permission number.,2023,Fall
DATA 225 (Section 11),43747,In Person,Database Systems for Analytics,,3.0,LEC,W,06:00PM-08:45PM,Vishnu Pendyala,BBC201,08/21/23-12/06/23,7,RC - Requires department release of permission number.,2023,Fall
DATA 228 (Section 12),50770,In Person,Big Data Technologies and Applications,,3.0,SEM,R,06:00PM-08:45PM,Andrew Bond,BBC201,08/21/23-12/06/23,10,,2023,Fall
DATA 230 (Section 11),44357,In Person,Data Visualization,,3.0,LEC,M,06:00PM-08:45PM,Shih Yu Chang,BBC201,08/21/23-12/06/23,7,RC - Requires department release of permission number.,2023,Fall
