Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
MS 241 (Section 01),51024,In Person,Advanced Geological Oceanography,GWAR,4.0,LEC,TBA,TBA,Staff,,08/21/23-12/06/23,25,RC - Requires department release of permission number.,2023,Fall
MS 241 (Section 02),51025,In Person,Advanced Geological Oceanography,GWAR,4.0,LAB,TBA,TBA,Staff,,08/21/23-12/06/23,25,RC - Requires department release of permission number.,2023,Fall
MS 242 (Section 01),51026,In Person,Advanced Physical Oceanography,GWAR,4.0,LEC,TBA,TBA,Staff,,08/21/23-12/06/23,25,RC - Requires department release of permission number.,2023,Fall
MS 242 (Section 02),51027,In Person,Advanced Physical Oceanography,GWAR,4.0,LAB,TBA,TBA,Staff,,08/21/23-12/06/23,25,RC - Requires department release of permission number.,2023,Fall
MS 274 (Section 01),41931,In Person,Advanced Topics in Oceanography,,4.0,SEM,R,09:00AM-11:00AM,Mike Wood,OFFCAMPUS,08/21/23-12/06/23,28,RC - Requires department release of permission number.,2023,Fall
MS 274 (Section 02),41932,In Person,Advanced Topics in Oceanography,,4.0,LAB,R,11:00AM-05:00PM,Mike Wood,OFFCAMPUS,08/21/23-12/06/23,28,RC - Requires department release of permission number.,2023,Fall
MS 280 (Section 01),41010,In Person,Scientific Writing,,3.0,SEM,M,01:00PM-04:00PM,Maxime Grand,OFFCAMPUS,08/21/23-12/06/23,10,RC - Requires department release of permission number.,2023,Fall
MS 285 (Section 01),43323,In Person,Graduate Seminar in Marine Science,,2.0,SEM,W,10:00AM-12:00PM,Maxime Grand,OFFCAMPUS,08/21/23-12/06/23,9,RC - Requires department release of permission number.,2023,Fall
MS 298 (Section 01),41147,In Person,Research in the Marine Science,,1.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 02),41148,In Person,Research in the Marine Science,,2.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 03),41149,In Person,Research in the Marine Science,,3.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 04),41150,In Person,Research in the Marine Science,,4.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 06),41151,In Person,Research in the Marine Science,,1.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 07),41152,In Person,Research in the Marine Science,,2.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 08),41153,In Person,Research in the Marine Science,,3.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 09),41154,In Person,Research in the Marine Science,,4.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 11),41123,In Person,Research in the Marine Science,,1.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 12),41124,In Person,Research in the Marine Science,,2.0,SUP,TBA,TBA,Thomas Connolly,OFFCAMPUS,08/21/23-12/06/23,24,,2023,Fall
MS 298 (Section 13),41125,In Person,Research in the Marine Science,,3.0,SUP,TBA,TBA,Staff,OFFCAMPUS,08/21/23-12/06/23,25,,2023,Fall
MS 298 (Section 14),41126,In Person,Research in the Marine Science,,4.0,SUP,TBA,TBA,Thomas Connolly,OFFCAMPUS,08/21/23-12/06/23,22,,2023,Fall
MS 298 (Section 21),41127,In Person,Research in the Marine Science,,1.0,SUP,TBA,TBA,Scott Hamilton,OFFCAMPUS,08/21/23-12/06/23,24,,2023,Fall
MS 298 (Section 22),41128,In Person,Research in the Marine Science,,2.0,SUP,TBA,TBA,Scott Hamilton,OFFCAMPUS,08/21/23-12/06/23,21,,2023,Fall
MS 298 (Section 23),41129,In Person,Research in the Marine Science,,3.0,SUP,TBA,TBA,Scott Hamilton,OFFCAMPUS,08/21/23-12/06/23,24,,2023,Fall
MS 298 (Section 24),41130,In Person,Research in the Marine Science,,4.0,SUP,TBA,TBA,Scott Hamilton,OFFCAMPUS,08/21/23-12/06/23,22,,2023,Fall
MS 298 (Section 31),41131,In Person,Research in the Marine Science,,1.0,SUP,TBA,TBA,Michael Graham,OFFCAMPUS,08/21/23-12/06/23,20,,2023,Fall
MS 298 (Section 32),41132,In Person,Research in the Marine Science,,2.0,SUP,TBA,TBA,Michael Graham,OFFCAMPUS,08/21/23-12/06/23,23,,2023,Fall
MS 298 (Section 33),41133,In Person,Research in the Marine Science,,3.0,SUP,TBA,TBA,Michael Graham,OFFCAMPUS,08/21/23-12/06/23,23,,2023,Fall
MS 298 (Section 34),41134,In Person,Research in the Marine Science,,4.0,SUP,TBA,TBA,Michael Graham,OFFCAMPUS,08/21/23-12/06/23,22,,2023,Fall
