Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CHAD 106 (Section 80),42345,Fully Online,Concepts of Childhood,GE: V,3.0,LEC,TBA,TBA,Robin Love,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 106 (Section 81),42346,Fully Online,Concepts of Childhood,GE: V,3.0,LEC,TBA,TBA,Robin Love,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 106 (Section 82),49125,Fully Online,Concepts of Childhood,GE: V,3.0,LEC,TBA,TBA,Laura Pirazzi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 106 (Section 83),50427,Fully Online,Concepts of Childhood,GE: V,3.0,LEC,TBA,TBA,Laura Pirazzi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 135 (Section 01),45642,In Person,Development of Language a Literacy in Children,,3.0,LEC,TR,09:00AM-10:15AM,Teresa O'Donnell-Johnson,SH315,08/21/23-12/06/23,0,,2023,Fall
CHAD 135 (Section 02),45750,In Person,Development of Language a Literacy in Children,,3.0,LEC,TR,10:30AM-11:45AM,Teresa O'Donnell-Johnson,SH315,08/21/23-12/06/23,1,,2023,Fall
CHAD 149 (Section 01),48682,Hybrid,Child Health and Physical Activity,,3.0,LEC,TR,10:30AM-11:45AM,Laura Pirazzi / Laura Pirazzi,SH434,08/21/23-12/06/23,3,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
CHAD 149 (Section 02),48683,Hybrid,Child Health and Physical Activity,,3.0,LEC,TR,10:30AM-11:45AM,Laura Pirazzi / Laura Pirazzi,SH313,08/21/23-12/06/23,4,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.,2023,Fall
CHAD 150 (Section 01),41553,In Person,Development of Language and Communicative Competence,,3.0,LEC,MW,09:00AM-10:15AM,Janet Bang (She/Her),SH311,08/21/23-12/06/23,2,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 150 (Section 02),41554,In Person,Development of Language and Communicative Competence,,3.0,LEC,MW,10:30AM-11:45AM,Danielle Mead-Nytko,SH314,08/21/23-12/06/23,7,PV - Prerequisite courses required. See course description.,2023,Fall
