Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
DSID 21 (Section 02),40806,In Person,Visualization I,,3.0,ACT,TR,12:00PM-02:50PM,John Mcclusky,ART205,08/21/23-12/06/23,0,RC - Requires department release of permission number.,2023,Fall
DSID 21 (Section 03),41606,In Person,Visualization I,,3.0,ACT,TR,03:00PM-05:50PM,Jon Corpuz,ART205,08/21/23-12/06/23,0,RC - Requires department release of permission number.,2023,Fall
DSID 31 (Section 01),40674,In Person,Industrial Design Foundation I,,3.0,ACT,TR,08:00AM-10:50AM,Adrian Gutierrez,ART103,08/21/23-12/06/23,0,RC - Requires department release of permission number.,2023,Fall
DSID 31 (Section 02),41607,In Person,Industrial Design Foundation I,,3.0,ACT,TR,12:00PM-02:50PM,Alison Armstrong,ART103,08/21/23-12/06/23,0,RC - Requires department release of permission number.,2023,Fall
DSID 31 (Section 03),42426,In Person,Industrial Design Foundation I,,3.0,ACT,TR,03:00PM-05:50PM,Alison Armstrong,ART103,08/21/23-12/06/23,0,,2023,Fall
DSID 41 (Section 01),40676,In Person,Materials and Processes I,,3.0,ACT,MW,12:00PM-02:50PM,Kohar Scott,ART205,08/21/23-12/06/23,0,,2023,Fall
DSID 41 (Section 02),43310,In Person,Materials and Processes I,,3.0,ACT,MW,12:00PM-02:50PM,Ronald Boeder,ART103,08/21/23-12/06/23,1,,2023,Fall
DSIT 10 (Section 01),41072,In Person,"Sketching, Drawing + Modeling",,3.0,ACT,MW,08:00AM-10:50AM,Eleanor Pries,IS241,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
DSIT 101 (Section 01),50158,In Person,Architectural Systems and Materials + Adv Modeling,,3.0,SEM,MW,03:00PM-03:25PM,Morana Medved,IS240,08/21/23-12/06/23,2,,2023,Fall
DSIT 101 (Section 02),50159,In Person,Architectural Systems and Materials + Adv Modeling,,3.0,ACT,MW,03:25PM-05:25PM,Morana Medved,IS240,08/21/23-12/06/23,2,,2023,Fall
DSIT 105 (Section 80),46946,Fully Online,Interior Architecture Advanced Design Studio,,3.0,ACT,TR,08:00AM-10:50AM,Marziah Rajabzadeh,ONLINE,08/21/23-12/06/23,8,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
DSIT 106 (Section 01),46992,In Person,Architectural Project Materials,,3.0,ACT,TR,12:00PM-02:50PM,Diana Seah,IS241,08/21/23-12/06/23,10,,2023,Fall
DSIT 107 (Section 80),48941,Fully Online,Furniture Design,,3.0,ACT,MW,08:00AM-10:50AM,Mohsen Marizad,ONLINE,08/21/23-12/06/23,17,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
DSIT 132 (Section 01),49456,In Person,Solar Home Design,,3.0,LEC,M,04:30PM-07:15PM,Benoit Delaveau,CL243,08/21/23-12/06/23,28,,2023,Fall
DSIT 29 (Section 02),50542,In Person,Design Process,,3.0,ACT,TR,06:00PM-08:50PM,Jeremy Nguyen,IS240,08/21/23-12/06/23,1,,2023,Fall
DSIT 33 (Section 01),48135,Hybrid,Architectural Presentation,,3.0,ACT,MW,06:00PM-08:50PM,Asenath Yeung,,08/21/23-12/06/23,0,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.",2023,Fall
DSIT 33 (Section 02),48164,Hybrid,Architectural Presentation,,3.0,ACT,TR,06:00PM-08:50PM,Asenath Yeung,,08/21/23-12/06/23,4,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.",2023,Fall
DSIT 34 (Section 01),43284,In Person,Interior Architecture Foundation Studio,,3.0,ACT,MW,12:00PM-02:50PM,Eleanor Pries,IS241,08/21/23-12/06/23,1,,2023,Fall
DSIT 34 (Section 02),48146,In Person,Interior Architecture Foundation Studio,,3.0,ACT,MW,03:00PM-05:50PM,Eleanor Pries,IS241,08/21/23-12/06/23,0,,2023,Fall
DSIT 5 (Section 01),46858,In Person,Introduction of Interior Design and Architecture,,3.0,ACT,TR,08:00AM-10:50AM,Diana Seah,IS241,08/21/23-12/06/23,1,,2023,Fall
DSIT 83 (Section 01),48160,In Person,Visual Communication I,,3.0,ACT,TR,03:00PM-05:50PM,Sylvia Wong,IS241,08/21/23-12/06/23,7,,2023,Fall
ECON 100W (Section 01),49188,In Person,Writing Workshop: Economic Reports,WID,4.0,SEM,TR,03:00PM-04:15PM,Darwyyn Deyo / Darwyyn Deyo,DMH165,08/21/23-12/06/23,4,,2023,Fall
ECON 100W (Section 02),48291,In Person,Writing Workshop: Economic Reports,WID,4.0,SEM,TR,01:30PM-02:45PM,Darwyyn Deyo,DMH165,08/21/23-12/06/23,0,IC - See course description for requirements.,2023,Fall
ECON 101 (Section 01),48292,In Person,Microeconomic Analysis,,4.0,SEM,TR,12:00PM-01:15PM,Patralekha Ukil,DMH165,08/21/23-12/06/23,1,IC - See course description for requirements.,2023,Fall
ECON 101 (Section 02),48293,In Person,Microeconomic Analysis,,4.0,SEM,MW,10:30AM-11:45AM,Ninos Malek,DMH166,08/21/23-12/06/23,18,IC - See course description for requirements.,2023,Fall
