Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
POLS 170V (Section 01),42819,In Person,American Politics in Global Perspective,GE: V+US23,3.0,SEM,MW,12:00PM-01:15PM,Sabrina Pinnell,DMH160,08/21/23-12/06/23,1,,2023,Fall
POLS 170V (Section 02),43774,In Person,American Politics in Global Perspective,GE: V+US23,3.0,SEM,F,09:30AM-12:15PM,Sabrina Pinnell,DMH160,08/21/23-12/06/23,4,,2023,Fall
POLS 170V (Section 03),44393,In Person,American Politics in Global Perspective,GE: V+US23,3.0,SEM,TR,09:00AM-10:15AM,Jeremy Abrams,DMH149A,08/21/23-12/06/23,0,,2023,Fall
POLS 170V (Section 04),44394,In Person,American Politics in Global Perspective,GE: V+US23,3.0,SEM,TR,04:30PM-05:45PM,Jeremy Abrams,DMH149A,08/21/23-12/06/23,0,,2023,Fall
POLS 181 (Section 01),43880,Hybrid,Internships,,4.0,SEM,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Mary Currin-Percival / Mary Currin-Percival,DMH149A,,,,,,,,,,,,2023,Fall
POLS 181C (Section 01),43881,Hybrid,Internship Capstone,,4.0,SEM,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Mary Currin-Percival / Mary Currin-Percival,DMH149A,,,,,,,,,,,,2023,Fall
POLS 190 (Section 01),42228,In Person,Senior Seminar,,4.0,SEM,MW,,,,,,,2023,Fall
TBA,MW,,,,,,,,,,,,,2023,Fall
TBA,Kenneth Peter,CL303A,,,,,,,,,,,,2023,Fall
PD - Prereq - Senior standing.,,,,,,,,,,,,,,2023,Fall
POLS 190 (Section 02),43488,In Person,Senior Seminar,,4.0,SEM,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Danijela Dudley,DMH149A,,,,,,,,,,,,2023,Fall
PD - Prereq - Senior standing.,,,,,,,,,,,,,,2023,Fall
POLS 190H (Section 01),44204,In Person,Honors Thesis,,1.0,SUP,TBA,TBA,Kenneth Peter,,08/21/23-12/06/23,2,,2023,Fall
PD - Prereq - Senior standing.,,,,,,,,,,,,,,2023,Fall
POLS 190H (Section 02),42229,In Person,Honors Thesis,,1.0,SUP,TBA,TBA,Danijela Dudley,,08/21/23-12/06/23,0,,2023,Fall
PD - Prereq - Senior standing.,,,,,,,,,,,,,,2023,Fall
POLS 2 (Section 80),43257,Fully Online,Introduction to Comparative Politics,GE: D,3.0,LEC,TBA,TBA,Sergio Bejar Lopez,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
POLS 20 (Section 01),49207,In Person,Controversial Legal Issues,GE: A3,3.0,LEC,TR,10:30AM-11:45AM,Kristina Mitchell,BBC128,08/21/23-12/06/23,0,,2023,Fall
POLS 3 (Section 01),43261,In Person,Introduction to Political Thought,GE: C2,3.0,LEC,TR,10:30AM-11:45AM,Lawrence Quill,DMH160,08/21/23-12/06/23,1,,2023,Fall
POLS 3 (Section 99),43260,Fully Online,Introduction to Political Thought,GE: C2,3.0,LEC,TBA,TBA,Lawrence Quill,ONLINE,08/21/23-12/06/23,0,,2023,Fall
