Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
CHEM 1A (Section 22),40180,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Jose Ramirez,DH412,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 23),40181,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Gilles Muller,DH506,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 24),40821,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Shreeyukta Singh,DH412,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 25),44095,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Elizabeth Migicovsky,DH506,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 26),40822,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Jose Ramirez,DH412,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 27),40823,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Brandon Barrios,DH506,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 28),40824,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Niloofar Salehi,DH412,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 29),40825,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Minh Hoang Huynh,DH506,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 30),43686,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,Niloofar Salehi,DH412,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 31),43696,In Person,General Chemistry,,0,LAB,M,02:30PM-05:15PM,Laura Mugica Sanchez,DH506,08/21/24-12/09/24,0,CB - Students must register in an entire block of courses. Contact department office.,2024,Fall
CHEM 1A (Section 32),50600,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Kala Padmanabhan,DH507,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 33),50601,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Brooke Bellinghausen,DH507,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 34),50602,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Victor Maraschin,DH507,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 35),50603,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Victor Maraschin,DH507,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 36),50626,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,John Diniz,DH507,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 37),50627,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Brooke Bellinghausen,DH507,08/21/24-12/09/24,0,2024,Fall
