Skip to main content
SAN JOSÉ STATE UNIVERSITY
MENU
SEARCH
Home
Class Schedule
Schedules
Archive
Fall 2023

Class Schedules

Academic Affairs
Schedules
Calendars
Culminating Activities & Finals
Register
Symbols & Abbreviations
Tuition & Fees
Fall 2023 Class Schedule

There are three different types of modes of instruction: Fully Online, Hybrid, and In-Person (definitions linked). Some instruction modes and classes times may change before registration opens.  

The first day of advanced registration for continuing students is Tuesday, April 25, 2023. 

Online Learning Readiness
Subject Notes
Using the Search
Class Schedule Listing

If the below table is not loading, please visit the MySJSU Class Schedule Search.

 

Show 
10
25
50
100
 entries
Search:
Section	Class Number	Mode of Instruction	Course Title	Satisfies	Units	Type	Days	Times	Instructor	Location	Dates	Open Seats	Notes
EDUC 80 (Section 01)	43091	Fully Online	Independent Study		1.0	SUP	TBA	TBA	Staff	ONLINE	08/21/23-12/06/23	20	
RO - Not available to Open University students.
FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
EE 102 (Section 01)	42645	In Person	Probability and Statistics in Electrical		3.0	LEC	MW	09:00AM-10:15AM	Eveline Bellegarda	ENG345	08/21/23-12/06/23	1	 
EE 102 (Section 02)	48478	In Person	Probability and Statistics in Electrical		3.0	LEC	MW	10:30AM-11:45AM	Nader Mir	ENG345	08/21/23-12/06/23	13	 
EE 104 (Section 01)	43717	In Person	Applied Programming in Electrical Engineering		3.0	LEC	MW	07:30PM-08:45PM	Christopher Pham	ENG331	08/21/23-12/06/23	26	 
EE 106 (Section 01)	49527	In Person	Fundamentals of Mechatronics Engineering		4.0	LEC	TR	01:30PM-02:45PM	Winncy Du	ENG189	08/21/23-12/06/23	75	 
EE 106 (Section 02)	49528	In Person	Fundamentals of Mechatronics Engineering		0	LAB	M	01:30PM-04:15PM	Winncy Du	ENG125	08/21/23-12/06/23	20	 
EE 106 (Section 03)	49529	In Person	Fundamentals of Mechatronics Engineering		0	LAB	W	01:30PM-04:15PM	Winncy Du	ENG125	08/21/23-12/06/23	19	 
EE 106 (Section 04)	49530	In Person	Fundamentals of Mechatronics Engineering		0	LAB	W	06:00PM-08:45PM	Jose Esquivel Patricio	ENG125	08/21/23-12/06/23	19	 
EE 106 (Section 05)	49531	In Person	Fundamentals of Mechatronics Engineering		0	LAB	R	04:30PM-07:15PM	Winncy Du	ENG125	08/21/23-12/06/23	17	 
EE 110 (Section 01)	42012	In Person	Circuits and Systems		3.0	SEM	MW	03:00PM-04:15PM	David Parent	ENG345	08/21/23-12/06/23	0	 
EE 110 (Section 02)	49212	In Person	Circuits and Systems		3.0	SEM	MW	03:00PM-04:15PM	Ping Hsu	CL117	08/21/23-12/06/23	0	 
EE 110L (Section 01)	41680	In Person	Continuous and Discrete Time Systems Lab		1.0	LAB	F	09:00AM-11:45AM	Sai Vikram Adithya Bokka	ENG258	08/21/23-12/06/23	0	 
EE 110L (Section 02)	41681	In Person	Continuous and Discrete Time Systems Lab		1.0	LAB	F	09:00AM-11:45AM	Roshni Dhandamudi	ENG290	08/21/23-12/06/23	0	 
EE 110L (Section 03)	41682	In Person	Continuous and Discrete Time Systems Lab		1.0	LAB	F	01:30PM-04:15PM	Nikhil Vaitla	ENG258	08/21/23-12/06/23	0	 
EE 110L (Section 04)	47410	In Person	Continuous and Discrete Time Systems Lab		1.0	LAB	F	01:30PM-04:15PM	Meghna Shankar	ENG290	08/21/23-12/06/23	0	 
EE 112 (Section 01)	42013	In Person	Introduction to Signal Processing		3.0	SEM	TR	10:30AM-11:45AM	Essam Marouf	ENG345	08/21/23-12/06/23	0	 
EE 112 (Section 02)	48530	In Person	Introduction to Signal Processing		3.0	SEM	TR	01:30PM-02:45PM	Essam Marouf	ENG345	08/21/23-12/06/23	0	 
EE 118 (Section 01)	48545	In Person	Digital Logic Circuit Design		4.0	SEM	TR	07:30AM-08:45AM	Jeonghee Kim	ENG345	08/21/23-12/06/23	0	 
EE 118 (Section 02)	40979	In Person	Digital Logic Circuit Design		0	LAB	M	12:00PM-02:45PM	Tan Nguyen	ENG305	08/21/23-12/06/23	0	 
EE 118 (Section 03)	41253	In Person	Digital Logic Circuit Design		0	LAB	W	12:00PM-02:45PM	Tejaswani Dasari	ENG305	08/21/23-12/06/23	0	 
EE 118 (Section 04)	42515	In Person	Digital Logic Circuit Design		0	LAB	T	12:00PM-02:45PM	Venkata Kavya Katara	ENG305	08/21/23-12/06/23	0	 
EE 118 (Section 05)	43940	In Person	Digital Logic Circuit Design		0	LAB	R	12:00PM-02:45PM	Likith Sodishetty Venkataramana	ENG305	08/21/23-12/06/23	1	 
EE 118 (Section 06)	51011	In Person	Digital Logic Circuit Design		0	LAB	M	07:30AM-10:15AM	Sai Prasanna Kumar Varikallu	ENG305	08/21/23-12/06/23	5	 
EE 120 (Section 01)	40969	In Person	Microprocessor Based System Design		4.0	SEM	MW	01:30PM-02:45PM	Jeonghee Kim	ENG343	08/21/23-12/06/23	5	IG - Students must also register in a lab section.
EE 120 (Section 02)	42985	In Person	Microprocessor Based System Design		0	LAB	M	10:30AM-01:15PM	Srivatsan Srinivasan	ENG307	08/21/23-12/06/23	0	 
EE 120 (Section 03)	40980	In Person	Microprocessor Based System Design		0	LAB	W	10:30AM-01:15PM	Venkata Satya Kanaka Madhav Gadhamsetty	ENG307	08/21/23-12/06/23	0	 
EE 120 (Section 04)	40981	In Person	Microprocessor Based System Design		0	LAB	T	12:00PM-02:45PM	Sreeja Manda	ENG307	08/21/23-12/06/23	3	 
EE 122 (Section 02)	48675	In Person	Electronic Design I		4.0	SEM	TR	09:00AM-10:15AM	Sotoudeh Hamedi-Hagh	ENG345	08/21/23-12/06/23	0	 
EE 122 (Section 03)	40952	In Person	Electronic Design I		0	LAB	M	10:30AM-01:15PM	Zeel Jatinkumar Lia	ENG290	08/21/23-12/06/23	0	 
EE 122 (Section 04)	41719	In Person	Electronic Design I		0	LAB	W	10:30AM-01:15PM	Shiva Kumar Appam	ENG290	08/21/23-12/06/23	0	 
EE 122 (Section 05)	48554	In Person	Electronic Design I		0	LAB	R	12:00PM-02:45PM	Pavan Kumar Bajjuri	ENG290	08/21/23-12/06/23	0	 
EE 122 (Section 06)	50908	In Person	Electronic Design I		4.0	SEM	TR	09:00AM-10:15AM	K Ghadiri	CL204	08/21/23-12/06/23	8	 
EE 124 (Section 01)	40986	In Person	Electronic Design II		4.0	SEM	MW	10:30AM-11:45AM	Artur Antonyan	ENG343	08/21/23-12/06/23	36	IG - Students must also register in a lab section.
EE 124 (Section 02)	40987	In Person	Electronic Design II		0	LAB	T	10:30AM-01:15PM	Nithin Reddy Govindugari	ENG258	08/21/23-12/06/23	5	 
EE 124 (Section 04)	40989	In Person	Electronic Design II		0	LAB	M	12:00PM-02:45PM	Twinkle Patel	ENG258	08/21/23-12/06/23	2	 
EE 127 (Section 01)	50033	In Person	Electronics for Biomedical Applications		3.0	LEC	TR	01:30PM-02:45PM	Jeonghee Kim	ENG301	08/21/23-12/06/23	7	 
EE 128 (Section 01)	49214	In Person	Physical Electronics		3.0	SEM	MW	04:30PM-05:45PM	Rakesh Jeyasingh	DMH150	08/21/23-12/06/23	17	 
EE 132 (Section 01)	43010	In Person	Theory of Automatic Controls		3.0	SEM	MW	01:30PM-02:45PM	Ping Hsu	ENG345	08/21/23-12/06/23	6	 
EE 134 (Section 01)	42887	In Person	Power Systems		3.0	LEC	TR	06:00PM-07:15PM	Tan Nguyen	CL117	08/21/23-12/06/23	0	 
EE 136 (Section 01)	49216	In Person	Semiconductor Power Electronics		3.0	LEC	TR	07:30PM-08:45PM	Mostafa Mosa	ENG343	08/21/23-12/06/23	28	 
EE 140 (Section 01)	49218	In Person	Principles of Electromagnetic Fields		3.0	LEC	TR	04:30PM-05:45PM	Raymond Kwok	DMH150	08/21/23-12/06/23	19	 
EE 160 (Section 01)	43016	In Person	Principles of Communication Systems		3.0	LEC	TR	03:00PM-03:50PM	Robert Morelos-Zaragoza	ENG343	08/21/23-12/06/23	0	 
EE 160 (Section 02)	40995	In Person	Principles of Communication Systems		0	LAB	M	03:00PM-05:45PM	Venkata Sudha Vihari Chitrapu	ENG238	08/21/23-12/06/23	0	 
