Skip to main content
SAN JOSÉ STATE UNIVERSITY
MENU
SEARCH
Home
Class Schedule
Schedules
Archive
Fall 2023

Class Schedules

Academic Affairs
Schedules
Calendars
Culminating Activities & Finals
Register
Symbols & Abbreviations
Tuition & Fees
Fall 2023 Class Schedule

There are three different types of modes of instruction: Fully Online, Hybrid, and In-Person (definitions linked). Some instruction modes and classes times may change before registration opens.  

The first day of advanced registration for continuing students is Tuesday, April 25, 2023. 

Online Learning Readiness
Subject Notes
Using the Search
Class Schedule Listing

If the below table is not loading, please visit the MySJSU Class Schedule Search.

 

Show 
10
25
50
100
 entries
Search:
Section	Class Number	Mode of Instruction	Course Title	Satisfies	Units	Type	Days	Times	Instructor	Location	Dates	Open Seats	Notes
EE 160 (Section 03)	50763	In Person	Principles of Communication Systems		0	LAB	W	03:00PM-05:45PM	Venkata Sudha Vihari Chitrapu	ENG238	08/21/23-12/06/23	0	 
EE 165 (Section 01)	49691	In Person	Photovoltaic Fabrication/Testing Lab		1.0	LAB	T	06:00PM-08:45PM	Vasuda Bhatia	ENG340	08/21/23-12/06/23	23	 
EE 168 (Section 01)	49690	In Person	Microfluid Fabrication and Design		1.0	LAB	R	01:30PM-04:15PM	John Lee	ENG115	08/21/23-12/06/23	15	 
EE 174 (Section 01)	40996	In Person	Analog Peripheral for Embedded Systems		3.0	SEM	MW	06:00PM-07:15PM	Tan Nguyen	CL117	08/21/23-12/06/23	4	 
EE 176 (Section 01)	48658	In Person	Computer Organization		3.0	SEM	MW	03:00PM-04:15PM	Shrikant Jadhav	ENG301	08/21/23-12/06/23	21	 
EE 181 (Section 01)	47138	In Person	Fundamentals of Internetworking		3.0	LEC	MW	01:30PM-02:45PM	Nader Mir	ENG301	08/21/23-12/06/23	9	 
EE 182 (Section 01)	45503	In Person	Analog and Mixed-Signal IC Test Development		3.0	SEM	TR	12:00PM-01:15PM	Jeonghee Kim	ENG340	08/21/23-12/06/23	18	 
EE 198A (Section 01)	42378	In Person	Senior Design Project I	GE: S	1.0	LAB	F	10:00AM-12:45PM	Thuy Le / Robert Morelos-Zaragoza	ENG238	08/21/23-12/06/23	0	 
EE 198A (Section 02)	42379	In Person	Senior Design Project I	GE: S	1.0	LAB	F	10:00AM-12:45PM	Thuy Le / Robert Morelos-Zaragoza	ENG244	08/21/23-12/06/23	0	 
EE 198A (Section 03)	42380	In Person	Senior Design Project I	GE: S	1.0	LAB	F	10:00AM-12:45PM	Thuy Le	ENG289	08/21/23-12/06/23	0	 
EE 198B (Section 01)	42381	In Person	Senior Design Project II	GE: V	3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Sotoudeh Hamedi-Hagh	ENG291	08/21/23-12/06/23	0	 
EE 198B (Section 02)	42382	In Person	Senior Design Project II	GE: V	3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Sotoudeh Hamedi-Hagh	ENG295	08/21/23-12/06/23	0	 
EE 209 (Section 01)	46963	In Person	Network Security		3.0	LEC	F	09:00AM-11:45AM	Juzi Zhao	ENG340	08/21/23-12/06/23	3	 
EE 221 (Section 01)	44484	In Person	Semiconductor Devices I		3.0	SEM	MW	06:00PM-07:15PM	Igor Tyukhov	CL202	08/21/23-12/06/23	21	 
EE 223 (Section 01)	42431	In Person	Analog Integrated Circuits		3.0	SEM	MW	07:30PM-08:45PM	Sang-Soo Lee	ENG340	08/21/23-12/06/23	4	 
EE 224 (Section 01)	47223	In Person	High Speed CMOS Circuits		3.0	SEM	TR	04:30PM-05:45PM	Morris Jones	CL117	08/21/23-12/06/23	22	 
EE 225 (Section 02)	50098	In Person	Introduction to Quantum Computing		3.0	LEC	MW	04:30PM-05:45PM	Hiu Yung Wong	CL238	08/21/23-12/06/23	18	 
EE 230 (Section 01)	42432	In Person	Radio Frequency Integrated Circuit Design II		3.0	SEM	MW	06:00PM-07:15PM	Sang-Soo Lee	ENG331	08/21/23-12/06/23	16	 
EE 231 (Section 02)	50620	In Person	Automatic Control Theory		3.0	SEM	TR	06:00PM-07:15PM	Ping Hsu	ENG345	08/21/23-12/06/23	20	 
EE 250 (Section 01)	43011	In Person	Probabilities, Random Variables and Stochastic Processes		3.0	SEM	TR	06:00PM-07:15PM	Juzi Zhao	CL202	08/21/23-12/06/23	0	 
EE 250 (Section 02)	51013	In Person	Probabilities, Random Variables and Stochastic Processes		3.0	SEM	MW	03:00PM-04:15PM	Juzi Zhao	ENG401	08/21/23-12/06/23	19	 
EE 258 (Section 01)	44497	In Person	Neural Networks		3.0	SEM	TR	03:00PM-04:15PM	Birsen Sirkeci	ENG345	08/21/23-12/06/23	19	 
EE 267 (Section 01)	48660	In Person	Computer Vision with Artificial Intelligence Applications		3.0	SEM	F	03:00PM-05:45PM	Chang Choo	ENG345	08/21/23-12/06/23	0	 
EE 271 (Section 01)	47210	In Person	Digital System Design and Synthesis		3.0	SEM	F	06:00PM-08:45PM	Binh Le	ENG345	08/21/23-12/06/23	0	 
EE 272 (Section 01)	41232	In Person	SoC Design a Verifi. with System Verilog		3.0	SEM	MW	07:30PM-08:45PM	Morris Jones	ENG345	08/21/23-12/06/23	4	 
EE 275 (Section 01)	46100	In Person	Advanced Computer Architectures		3.0	SEM	TR	04:30PM-05:45PM	Seung Choi	ENG339	08/21/23-12/06/23	17	 
EE 277 (Section 01)	48667	In Person	Embedded Systems Design		3.0	SEM	MW	04:30PM-05:45PM	Shrikant Jadhav	ENG329	08/21/23-12/06/23	5	 
EE 278 (Section 02)	50222	In Person	Digital Design for AI and DSP		3.0	SEM	TR	01:30PM-02:45PM	Chang Choo	CL226	08/21/23-12/06/23	10	 
EE 295 (Section 01)	44485	In Person	Technical Writing - Engineering Ethics	GWAR	3.0	LEC	TR	04:30PM-05:45PM	Thomas Wrappe	ENG401	08/21/23-12/06/23	7	 
EE 295 (Section 02)	44486	In Person	Technical Writing - Engineering Ethics	GWAR	3.0	LEC	TR	07:30PM-08:45PM	Thomas Wrappe	ENG232	08/21/23-12/06/23	2	 
EE 297A (Section 01)	42435	In Person	MSEE Project Proposal		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Chang Choo	ENG317	08/21/23-12/06/23	0	 
EE 297A (Section 02)	42436	In Person	MSEE Project Proposal		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Nader Mir	ENG319	08/21/23-12/06/23	0	 
EE 297A (Section 03)	42437	In Person	MSEE Project Proposal		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Birsen Sirkeci	ENG321	08/21/23-12/06/23	0	 
EE 297B (Section 01)	42438	In Person	MSEE Project		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Chang Choo	ENG386	08/21/23-12/06/23	0	 
EE 297B (Section 02)	42439	In Person	MSEE Project		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Nader Mir	ENG387	08/21/23-12/06/23	0	 
EE 297B (Section 03)	42440	In Person	MSEE Project		3.0	LAB	S	09:00AM-06:00PM	Thuy Le / Birsen Sirkeci	ENG389	08/21/23-12/06/23	1	 
EE 298I (Section 01)	40345	Fully Online	Electrical Engineering Internship Experience		1.0	SUP	TBA	TBA	Thuy Le	ONLINE	08/21/23-12/06/23	30	
RC - Requires department release of permission number.
RO - Not available to Open University students.
FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
EE 299A (Section 01)	42441	Hybrid	MSEE Thesis Proposal		3.0	SUP	TBA	TBA	Thuy Le		08/21/23-12/06/23	3	
RO - Not available to Open University students.
HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.
EE 299B (Section 01)	45535	Hybrid	MSEE Thesis		3.0	SUP	TBA	TBA	Thuy Le		08/21/23-12/06/23	4	
RO - Not available to Open University students.
HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus.
EE 30 (Section 01)	42442	In Person	Introduction to Programming Micro-Controllers for Electrical Engineering		3.0	LEC	MW	12:00PM-12:50PM	Chao-Li Tarng	ENG345	08/21/23-12/06/23	0	 
EE 30 (Section 02)	42443	In Person	Introduction to Programming Micro-Controllers for Electrical Engineering		0	LAB	M	06:00PM-08:45PM	Bhawandeep Singh Harsh	ENG307	08/21/23-12/06/23	0	 
EE 30 (Section 03)	43021	In Person	Introduction to Programming Micro-Controllers for Electrical Engineering		0	LAB	T	06:00PM-08:45PM	Bhawandeep Singh Harsh	ENG307	08/21/23-12/06/23	0	 
EE 30 (Section 04)	45324	In Person	Introduction to Programming Micro-Controllers for Electrical Engineering		0	LAB	W	06:00PM-08:45PM	Bhawandeep Singh Harsh	ENG307	08/21/23-12/06/23	0	 
EE 97 (Section 01)	41248	In Person	Introductory Electrical Engineering Laboratory		1.0	LAB	M	01:30PM-04:15PM	K Ghadiri	ENG249	08/21/23-12/06/23	3	 
EE 97 (Section 02)	40950	In Person	Introductory Electrical Engineering Laboratory		1.0	LAB	T	01:30PM-04:15PM	K Ghadiri	ENG249	08/21/23-12/06/23	0	 
EE 97 (Section 03)	40962	In Person	Introductory Electrical Engineering Laboratory		1.0	LAB	W	01:30PM-04:15PM	K Ghadiri	ENG249	08/21/23-12/06/23	2	 
EE 97 (Section 04)	41477	In Person	Introductory Electrical Engineering Laboratory		1.0	LAB	F	09:00AM-11:45AM	K Ghadiri	ENG249	08/21/23-12/06/23	3	 
EE 97 (Section 05)	41513	In Person	Introductory Electrical Engineering Laboratory		1.0	LAB	F	01:30PM-04:15PM	K Ghadiri	ENG249	08/21/23-12/06/23	0	 
EE 98 (Section 01)	40966	In Person	Introduction to Circuit Analysis		3.0	SEM	MW	10:30AM-11:45AM	Robert Morelos-Zaragoza	ENG329	08/21/23-12/06/23	0	 
EE 98 (Section 02)	49210	In Person	Introduction to Circuit Analysis		3.0	SEM	TR	10:30AM-11:45AM	Sotoudeh Hamedi-Hagh	ENG403	08/21/23-12/06/23	2	 
EE 98 (Section 03)	49211	In Person	Introduction to Circuit Analysis		3.0	SEM	MW	12:00PM-01:15PM	Jalel Rejeb	ENG401	08/21/23-12/06/23	1	 
EE 98 (Section 04)	43697	In Person	Introduction to Circuit Analysis		3.0	SEM	TR	12:00PM-01:15PM	Jalel Rejeb	ENG345	08/21/23-12/06/23	1	 
EE 98 (Section 05)	46099	In Person	Introduction to Circuit Analysis		3.0	SEM	MW	04:30PM-05:45PM	Jalel Rejeb	ENG345	08/21/23-12/06/23	3	 
EE 98 (Section 06)	48453	In Person	Introduction to Circuit Analysis		3.0	SEM	TR	04:30PM-05:45PM	Jalel Rejeb	ENG345	08/21/23-12/06/23	9	 
ENED 184Y (Section 01)	40166	In Person	Student Teaching II - Classroom Teaching		4.0	SUP	TBA	TBA	Chelsea Criez		08/21/23-12/06/23	0	
RC - Requires department release of permission number.
RO - Not available to Open University students.
ENED 184Y (Section 02)	40926	In Person	Student Teaching II - Classroom Teaching		4.0	SUP	TBA	TBA	Louise Bernbaum		08/21/23-12/06/23	1	
RC - Requires department release of permission number.
RO - Not available to Open University students.
ENED 184Y (Section 03)	40927	In Person	Student Teaching II - Classroom Teaching		4.0	SUP	TBA	TBA	Genie Florczyk		08/21/23-12/06/23	0	
RC - Requires department release of permission number.
RO - Not available to Open University students
