Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
MATH 39 (Section 06),29940,In Person,Linear Algebra I,,3.0,LEC,MW,09:00AM-10:15AM,Giang Le,MH323,01/23/25-05/12/25,10,2025,Spring
MATH 42 (Section 01),27732,In Person,Discrete Mathematics,,3.0,SEM,MW,12:00PM-01:15PM,Andrea Gottlieb,MH320,01/23/25-05/12/25,5,2025,Spring
MATH 42 (Section 02),27733,In Person,Discrete Mathematics,,3.0,SEM,MW,06:00PM-07:15PM,Andrea Gottlieb,BBC324,01/23/25-05/12/25,7,2025,Spring
MATH 42 (Section 03),27734,In Person,Discrete Mathematics,,3.0,SEM,TR,09:00AM-10:15AM,Sogol Jahanbekam,MH323,01/23/25-05/12/25,1,2025,Spring
MATH 42 (Section 04),27735,In Person,Discrete Mathematics,,3.0,SEM,TR,12:00PM-01:15PM,Sogol Jahanbekam,MH323,01/23/25-05/12/25,0,2025,Spring
MATH 42 (Section 05),27736,In Person,Discrete Mathematics,,3.0,SEM,TR,01:30PM-02:45PM,Jordan Schettler,MH323,01/23/25-05/12/25,2,2025,Spring
MATH 42 (Section 06),27737,In Person,Discrete Mathematics,,3.0,SEM,TR,03:00PM-04:15PM,Wasin So,MH323,01/23/25-05/12/25,10,2025,Spring
MATH 42 (Section 07),27738,In Person,Discrete Mathematics,,3.0,SEM,TR,04:30PM-05:45PM,Wasin So,MH323,01/23/25-05/12/25,7,2025,Spring
MATH 42W (Section 01),21005,In Person,Discrete Math Workshop,,1.0,LAB,MW,10:30AM-11:45AM,Nora Adadurova,WSQ001C,01/23/25-05/12/25,1,2025,Spring
MATH 42W (Section 02),22640,In Person,Discrete Math Workshop,,1.0,LAB,TR,10:30AM-11:45AM,Edric Dabu,WSQ001C,01/23/25-05/12/25,3,2025,Spring
MATH 42W (Section 03),23517,In Person,Discrete Math Workshop,,1.0,LAB,TR,03:00PM-04:15PM,Tyler Morales,WSQ001C,01/23/25-05/12/25,7,2025,Spring
MATH 42X (Section 01),27739,In Person,Discrete Mathematics,,3.0,LEC,MW,12:00PM-01:15PM,Andrea Gottlieb,MH320,01/23/25-05/12/25,0,2025,Spring
MATH 42X (Section 02),27740,In Person,Discrete Mathematics,,3.0,LEC,MW,06:00PM-07:15PM,Andrea Gottlieb,BBC324,01/23/25-05/12/25,3,2025,Spring
MATH 42X (Section 03),27741,In Person,Discrete Mathematics,,3.0,LEC,TR,09:00AM-10:15AM,Sogol Jahanbekam,MH323,01/23/25-05/12/25,1,2025,Spring
MATH 42X (Section 04),27742,In Person,Discrete Mathematics,,3.0,LEC,TR,12:00PM-01:15PM,Sogol Jahanbekam,MH323,01/23/25-05/12/25,0,2025,Spring
MATH 42X (Section 05),27743,In Person,Discrete Mathematics,,3.0,LEC,TR,01:30PM-02:45PM,Jordan Schettler,MH323,01/23/25-05/12/25,0,2025,Spring
MATH 42X (Section 06),27744,In Person,Discrete Mathematics,,3.0,LEC,TR,03:00PM-04:15PM,Wasin So,MH323,01/23/25-05/12/25,0,2025,Spring
MATH 42X (Section 07),27745,In Person,Discrete Mathematics,,3.0,LEC,TR,04:30PM-05:45PM,Wasin So,MH323,01/23/25-05/12/25,9,2025,Spring
MATH 142 (Section 01),22644,In Person,Introduction to Combinatorics,,3.0,SEM,MW,01:30PM-02:45PM,Jesse Geneson,MH520,01/23/25-05/12/25,3,2025,Spring
MATH 142 (Section 02),26759,In Person,Introduction to Combinatorics,,3.0,SEM,MW,04:30PM-05:45PM,Jesse Geneson,MH324,01/23/25-05/12/25,9,2025,Spring
MATH 161A (Section 01),21562,In Person,Applied Probability and Statistics I,,3.0,SEM,TR,12:00PM-01:15PM,Bee Leng Lee,MH320,01/23/25-05/12/25,0,2025,Spring
MATH 161A (Section 02),21129,In Person,Applied Probability and Statistics I,,3.0,SEM,TR,01:30PM-02:45PM,Martina Bremer,MH320,01/23/25-05/12/25,0,2025,Spring
MATH 161A (Section 03),21509,In Person,Applied Probability and Statistics I,,3.0,SEM,TR,03:00PM-04:15PM,Martina Bremer,MH320,01/23/25-05/12/25,1,2025,Spring
MATH 161A (Section 04),24992,In Person,Applied Probability and Statistics I,,3.0,SEM,TR,04:30PM-05:45PM,Bee Leng Lee,MH424,01/23/25-05/12/25,2,2025,Spring
